up_new,Descrizione,G1a,G1b,G2a,G2b,G3a,G3b,G4a,G4b,G5a,G5b,G6a,G6b,G7a,G7b,G8a,G8b,G9a,G9b,G10a,G10b,G11a,G11b,G12a,G12b,G13a,G13b,G14a,G14b,G15a,G15b,G16a,G16b,G17a,G17b,G18a,G18b,G19a,G19b,G20a,G20b,G21a,G21b,G22a,G22b,G23a,G23b,G24a,G24b,G25a,G25b,G26a,G26b,G27a,G27b,G28a,G28b,G29a,G29b,G30a,G30b,G31a,G31b,G32a,G32b,G33a,G33b,G34a,G34b,G35a,G35b,G36a,G36b,G37a,G37b,G38a,G38b,G39a,G39b,G40a,G40b,G41a,G41b
2.1.1.5.1,Specialisti in reti e comunicazioni informatiche,73.6111111111,61.1111111111,63.8888888889,54.7619047619,51.3888888889,48.4126984127,38.8888888889,40.4761904762,45.8333333333,38.0952380952,52.7777777778,46.8253968254,63.8888888889,52.380952381,68.0555555556,59.5238095238,65.2777777778,53.1746031746,79.1666666667,66.6666666667,52.7777777778,56.3492063492,87.5,76.1904761905,59.7222222222,53.9682539683,65.2777777778,57.9365079365,72.2222222222,58.7301587302,4.1666666667,5.5555555556,16.6666666667,20.6349206349,4.1666666667,4.7619047619,100,85.7142857143,2.7777777778,3.1745793651,54.1666666667,49.2063492063,4.1666666667,5.5555555556,31.9444444444,36.5079365079,66.6666666667,61.1111111111,69.4444444444,54.7619047619,70.8333333333,60.3174603175,63.8888888889,53.1746031746,70.8333333333,61.1111111111,13.8888888889,14.2857142857,22.2222222222,25.3968253968,29.1666666667,26.9841269841,15.2777777778,17.4603174603,48.6111111111,46.8253968254,41.6666666667,38.0952380952,30.5555555556,33.3333333333,38.8888888889,31.746031746,37.5,36.5079365079,68.0555555556,62.6984126984,15.2777777778,19.0476190476,22.2222222222,21.4285714286,33.3333333333,29.3650793651
2.1.1.5.2,Analisti e progettisti di basi dati,72.5,70,53.75,52.1428571429,45,45.7142857143,13.75,17.1428571429,32.5,31.4285714286,46.25,38.5714285714,50,49.2857142857,68.75,69.2857142857,76.25,73.5714285714,77.5,69.2857142857,40,50,76.25,72.1428571429,61.25,55.7142857143,55,52.1428571429,65,57.8571428571,2.5,3.5714285714,1.25,1.4285714286,7.5,8.5714071429,91.25,75.7141428571,0,0,30,33.5714285714,0,0,15,16.4285714286,52.5,45,65,56.4285714286,73.75,63.5714285714,61.25,56.4285714286,63.75,60.7142857143,16.25,15.7142857143,16.25,15.7142857143,31.25,35.7142857143,11.25,12.1428571429,43.75,42.1428571429,37.5,40.7142857143,31.25,30,27.5,34.2857142857,27.5,33.5714285714,55,52.8571428571,12.5,14.2857142857,18.75,18.5714285714,20,20.7142857143
2.1.1.5.3,Amministratori di sistemi,67.0454545455,53.8961038961,37.5,38.3116883117,30.6818181818,31.8181818182,21.5909090909,16.8831168831,44.3181818182,33.7662337662,43.1818181818,39.6103896104,44.3181818182,45.4545454545,54.5454545455,48.7012987013,52.2727272727,46.7532467532,69.3181818182,57.7922077922,44.3181818182,38.961038961,75,69.4805194805,54.5454545455,50.6493506494,61.3636363636,55.8441558442,64.7727272727,59.0909090909,2.2727272727,2.5973831169,7.9545454545,9.7402597403,1.1363636364,1.2986818182,87.5,76.6233766234,1.1363636364,1.2986818182,32.9545454545,29.2207792208,1.1363636364,1.9480519481,26.1363636364,25.3246753247,61.3636363636,57.1428571429,56.8181818182,50.6493506494,69.3181818182,60.3896103896,65.9090909091,58.4415584416,64.7727272727,56.4935064935,15.9090909091,18.8311688312,20.4545454545,21.4285714286,36.3636363636,33.1168831169,18.1818181818,16.8831168831,42.0454545455,42.8571428571,44.3181818182,42.2077922078,48.8636363636,44.1558441558,45.4545454545,38.3116883117,46.5909090909,43.5064935065,61.3636363636,56.4935064935,19.3181818182,19.4805194805,19.3181818182,24.025974026,36.3636363636,37.6623376623
2.1.1.5.4,Specialisti in sicurezza informatica,75,63.3928571429,46.875,46.4285714286,40.625,42.8571428571,26.5625,27.6785714286,51.5625,42.8571428571,57.8125,48.2142857143,56.25,48.2142857143,59.375,52.6785714286,70.3125,61.6071428571,79.6875,63.3928571429,42.1875,43.75,81.25,75.8928571429,48.4375,40.1785714286,56.25,47.3214285714,62.5,55.3571428571,3.125,4.4642857143,9.375,13.3928571429,0,0,90.625,82.1426785714,1.5625,1.7856875,40.625,40.1785714286,6.25,7.1428571429,18.75,16.0714285714,56.25,51.7857142857,78.125,59.8214285714,73.4375,59.8214285714,73.4375,58.9285714286,68.75,57.1428571429,6.25,6.2499732143,18.75,21.4285714286,39.0625,33.9285714286,15.625,14.2857142857,45.3125,39.2857142857,34.375,30.3571428571,39.0625,34.8214285714,20.3125,19.6428571429,39.0625,35.7142857143,62.5,58.9285714286,18.75,16.9642857143,15.625,12.5,23.4375,20.5357142857
2.1.1.6.1,Geologi,67.2413793103,64.5320197044,61.2068965517,63.0541871921,63.7931034483,64.039408867,39.6551724138,37.4384236453,52.5862068966,55.1724137931,43.1034482759,47.2906403941,52.5862068966,55.1724137931,70.6896551724,70.4433497537,59.4827586207,56.6502463054,72.4137931034,67.9802955665,39.6551724138,43.842364532,74.1379310345,69.9507389163,41.3793103448,43.842364532,50.8620689655,55.1724137931,60.3448275862,62.5615763547,28.4482758621,32.0197044335,25.8620689655,32.0197044335,12.9310344828,17.2413793103,69.8275862069,55.6650246305,8.6206896552,10.3448275862,49.1379310345,44.8275862069,8.6206896552,11.8226600985,11.2068965517,13.3004926108,55.1724137931,50.7389162562,62.0689655172,57.1428571429,53.4482758621,54.1871921182,61.2068965517,60.5911330049,66.3793103448,66.5024630542,7.7586206897,10.8374384236,12.9310344828,11.8226600985,31.0344827586,36.9458128079,17.2413793103,17.2413793103,43.1034482759,46.7980295567,25,27.0935960591,21.5517241379,23.1527093596,25.8620689655,26.6009852217,26.724137931,30.5418719212,51.724137931,55.1724137931,35.3448275862,36.4532019704,12.0689655172,14.7783251232,35.3448275862,40.8866995074
2.1.1.6.2,Paleontologi,83.75,73.5714285714,67.5,64.2857142857,40,41.4285714286,36.25,36.4285714286,55,51.4285714286,60,63.5714285714,46.25,47.1428571429,80,80,85,76.4285714286,71.25,65.7142857143,82.5,72.1428571429,86.25,75.7142857143,70,61.4285714286,72.5,69.2857142857,77.5,67.1428571429,32.5,36.4285714286,45,52.8571428571,17.5,28.5714285714,76.25,56.4285714286,17.5,15.7142857143,38.75,29.2857142857,6.25,9.2857142857,7.5,6.4285714286,57.5,57.8571428571,71.25,67.8571428571,77.5,70.7142857143,66.25,67.1428571429,77.5,72.1428571429,25,25,3.75,4.9999785714,32.5,37.8571428571,47.5,49.2857142857,68.75,60,60,57.1428571429,82.5,74.2855714286,66.25,61.4285714286,70,67.1428571429,61.25,60,31.25,31.4285714286,23.75,25.7142857143,55,49.2857142857
2.1.1.6.3,Geofisici,87.5,70.7142857143,66.25,60.7142857143,51.25,49.2857142857,37.5,32.8571428571,68.75,62.8571428571,66.25,57.1428571429,62.5,51.4285714286,92.5,75.7142857143,92.5,75,87.5,69.2857142857,61.25,66.4285714286,86.25,77.1428571429,75,65,68.75,62.8571428571,75,66.4285714286,16.25,16.4285714286,18.75,15.7142857143,12.5,11.4285714286,93.75,65,3.75,3.5714071429,73.75,59.2857142857,5,4.9999785714,18.75,14.2857142857,80,63.5714285714,97.5,80,83.75,67.1428571429,76.25,66.4285714286,81.25,63.5714285714,10,15,8.75,11.4285714286,51.25,46.4285714286,16.25,17.8571428571,70,53.5714285714,63.75,51.4285714286,58.75,48.5714285714,51.25,47.1428571429,52.5,48.5714285714,58.75,50.7142857143,51.25,40,37.5,35.7142857143,47.5,40.7142857143
2.1.1.6.4,Meteorologi,72.619047619,69.387755102,61.9047619048,66.6666666667,63.0952380952,70.7482993197,32.1428571429,35.3741496599,46.4285714286,48.9795918367,40.4761904762,38.7755102041,45.2380952381,46.9387755102,76.1904761905,76.1904761905,76.1904761905,72.1088435374,75,70.0680272109,50,60.5442176871,78.5714285714,74.1496598639,60.7142857143,62.5850340136,64.2857142857,65.9863945578,70.2380952381,66.6666666667,1.1904761905,2.7210884354,5.9523809524,8.8435170068,19.0476190476,19.0476190476,89.2857142857,73.4693877551,5.9523809524,6.8027210884,28.5714285714,34.0136054422,2.380952381,2.7210680272,11.9047619048,17.6870748299,63.0952380952,63.2653061224,71.4285714286,70.7482993197,66.6666666667,68.0272108844,70.2380952381,69.387755102,63.0952380952,62.5850340136,10.7142857143,11.5646258503,13.0952380952,13.6054421769,14.2857142857,17.6870748299,30.9523809524,25.8503401361,44.0476190476,50.3401360544,44.0476190476,48.2993197279,36.9047619048,48.9795918367,35.7142857143,36.0544217687,42.8571428571,45.5782312925,51.1904761905,55.7823129252,21.4285714286,23.8095238095,11.9047619048,16.3265306122,27.380952381,34.0136054422
2.1.1.6.5,Idrologi,83.75,67.8571428571,71.25,57.1428571429,78.75,60.7142857143,45,39.2857142857,57.5,46.4285714286,47.5,45,58.75,50.7142857143,85,73.5712857143,77.5,64.2857142857,77.5,66.4285714286,42.5,40.7142857143,78.75,69.2857142857,52.5,49.2857142857,60,52.1428571429,63.75,60.7142857143,25,27.1428571429,25,27.8571428571,15,17.1428571429,88.75,57.8571428571,11.25,9.2857142857,51.25,46.4285714286,3.75,4.2857142857,7.5,11.42855,73.75,56.4285714286,71.25,56.4285714286,65,54.2857142857,70,60,68.75,63.5714285714,6.25,7.8571428571,11.25,12.8571428571,31.25,35,13.75,12.1428571429,43.75,45.7142857143,25,26.4285714286,30,30,28.75,29.2857142857,31.25,29.2857142857,50,47.1428571429,35,33.5714285714,12.5,16.4285714286,38.75,38.5714285714
2.2.1.1.1,Ingegneri meccanici,69.5652173913,61.4906832298,52.1739130435,52.1739130435,50,46.5838509317,38.0434782609,32.9192546584,69.5652173913,57.1428571429,65.2173913043,58.3850931677,66.3043478261,58.3850931677,72.8260869565,68.3229813665,60.8695652174,60.8695652174,82.6086956522,68.9440993789,47.8260869565,49.6894409938,73.9130434783,69.5652173913,60.8695652174,57.1428571429,71.7391304348,60.248447205,69.5652173913,68.9440993789,3.2608695652,3.7267080745,6.5217391304,7.4534161491,3.2608695652,3.1055714286,90.2173913043,65.8383850932,3.2608695652,3.7267080745,43.4782608696,38.5093167702,0,0,1.0869565217,1.2422173913,45.652173913,44.7204968944,63.0434782609,55.900621118,76.0869565217,67.701863354,71.7391304348,65.2173913043,60.8695652174,58.3850931677,10.8695652174,13.0434782609,14.1304347826,13.6645962733,34.7826086957,36.6459627329,11.9565217391,13.6645962733,55.4347826087,44.099378882,52.1739130435,48.4472049689,36.9565217391,39.1304347826,51.0869565217,45.9627329193,36.9565217391,37.2670807453,58.6956521739,57.1428571429,25,27.3291925466,28.2608695652,29.8136645963,51.0869565217,47.2049689441
2.2.1.1.2,Ingegneri navali,71.25,65,46.25,44.2857142857,48.75,49.2857142857,56.25,52.1428571429,68.75,63.5714285714,72.5,63.5714285714,57.5,53.5714285714,58.75,59.2857142857,50,52.8571428571,71.25,68.5714285714,61.25,58.5714285714,70,67.1428571429,60,55.7142857143,72.5,65,76.25,67.1428571429,13.75,15.7142857143,7.5,11.42855,7.5,12.1428571429,76.25,57.8571428571,15,16.4285714286,71.25,64.2857142857,10,11.4285714286,7.5,9.2856928571,46.25,45,60,55.7142857143,78.75,72.8571428571,71.25,69.2857142857,72.5,68.5714285714,16.25,20,33.75,33.5714285714,56.25,57.8571428571,8.75,12.8571428571,60,63.5714285714,46.25,45,37.5,40,55,57.1428571429,56.25,57.8571428571,65,68.5714285714,30,36.4285714286,23.75,28.5714285714,46.25,45
2.2.1.1.3,Ingegneri aerospaziali e astronautici,73.0769230769,67.032967033,55.7692307692,55.4945054945,59.6153846154,58.7912087912,32.6923076923,29.6703296703,65.3846153846,59.3406593407,63.4615384615,59.8901098901,73.0769230769,68.6813186813,62.5,64.2857142857,65.3846153846,59.3406593407,83.6538461538,69.7802197802,56.7307692308,58.7912087912,69.2307692308,68.6813186813,60.5769230769,54.9450549451,68.2692307692,62.6373626374,84.6153846154,74.1757142857,1.9230769231,2.1977857143,3.8461538462,3.8461538462,5.7692307692,7.6922912088,75.9615384615,58.7912087912,2.8846153846,3.2966868132,69.2307692308,63.1868131868,2.8846153846,3.8461373626,0.9615384615,1.0988846154,60.5769230769,54.9450549451,72.1153846154,66.4835164835,87.5,78.021978022,79.8076923077,68.6813186813,77.8846153846,71.4285714286,14.4230769231,18.6813186813,15.3846153846,16.4835164835,49.0384615385,46.7032967033,19.2307692308,18.1318681319,75,66.4835164835,58.6538461538,56.043956044,43.2692307692,42.3076923077,67.3076923077,58.7912087912,48.0769230769,50,50,51.0989010989,24.0384615385,26.3736263736,15.3846153846,15.9340659341,50,50
2.2.1.1.4,Ingegneri energetici e nucleari,71.1538461538,72.5274725275,57.6923076923,58.2417582418,71.1538461538,70.3296703297,55.7692307692,52.7472527473,76.9230769231,61.5384615385,61.5384615385,58.2417582418,59.6153846154,59.3406593407,69.2307692308,71.4285714286,57.6923076923,64.8351648352,76.9230769231,70.3296703297,40.3846153846,35.1648351648,76.9230769231,78.021978022,55.7692307692,57.1428571429,69.2307692308,68.1318681319,80.7692307692,71.4285714286,7.6923076923,7.6923076923,13.4615384615,17.5824175824,11.5384615385,10.989010989,75,53.8461538462,3.8461538462,4.3956043956,36.5384615385,37.3626373626,3.8461538462,7.6923076923,5.7692307692,7.6923076923,50,49.4505494505,55.7692307692,51.6483516484,67.3076923077,68.1318681319,69.2307692308,62.6373626374,59.6153846154,52.7472527473,23.0769230769,24.1758241758,15.3846153846,18.6813186813,46.1538461538,42.8571428571,1.9230769231,2.1977692308,67.3076923077,59.3406593407,40.3846153846,35.1648351648,44.2307692308,39.5604395604,42.3076923077,46.1538461538,38.4615384615,34.0659340659,40.3846153846,39.5604395604,17.3076923077,19.7802197802,11.5384615385,8.7912087912,55.7692307692,54.9450549451
2.2.1.2.1,Ingegneri metallurgici,66.25,62.1428571429,56.25,52.8571428571,76.25,70,57.5,55.7142857143,63.75,57.8571428571,65,60.7142857143,77.5,67.1428571429,68.75,70,65,62.8571428571,77.5,75,45,50.7142857143,72.5,70.7142857143,56.25,58.5714285714,72.5,70,71.25,67.8571428571,6.25,7.8571428571,6.25,10.7142857143,11.25,17.1428571429,70,56.4285714286,6.25,7.8571428571,43.75,50.7142857143,13.75,19.2857142857,15,19.2857142857,56.25,60,66.25,65.7142857143,77.5,70,60,61.4285714286,71.25,70.7142857143,22.5,27.1428571429,20,19.2857142857,58.75,62.1428571429,13.75,15.7142857143,66.25,67.1428571429,63.75,63.5714285714,56.25,55.7142857143,65,68.5714285714,57.5,57.8571428571,58.75,64.2857142857,13.75,14.2857142857,37.5,40,42.5,46.4285714286
2.2.1.2.2,Ingegneri minerari,68.75,57.8571428571,55,44.2857142857,63.75,50,43.75,36.4285714286,47.5,40.7142857143,42.5,41.4285714286,58.75,48.5714285714,73.75,63.5714285714,61.25,51.4285714286,68.75,60,48.75,38.5714285714,73.75,60,57.5,47.1428571429,67.5,53.5714285714,62.5,55,10,10,13.75,11.4285714286,11.25,12.8571428571,67.5,45,2.5,3.5714071429,46.25,39.2857142857,11.25,10,11.25,11.4285714286,65,51.4285714286,65,52.8571428571,73.75,57.8571428571,81.25,61.4285714286,76.25,61.4285714286,22.5,26.4285714286,25,27.8571428571,42.5,37.8571428571,12.5,18.5714285714,50,45,36.25,35.7142857143,35,30.7142857143,42.5,42.8571428571,40,35.7142857143,55,56.4285714286,25,22.8571428571,16.25,17.1428571429,41.25,39.2857142857
2.2.1.3.0,Ingegneri elettrotecnici e dell'automazione industriale,66.6666666667,73.0158730159,61.1111111111,55.5555555556,63.8888888889,74.6031746032,75,71.4285714286,69.4444444444,68.253968254,58.3333333333,60.3174603175,69.4444444444,63.4920634921,61.1111111111,63.4920634921,55.5555555556,52.380952381,77.7777777778,76.1904761905,83.3333333333,84.126984127,80.5555555556,84.126984127,44.4444444444,49.2063492063,61.1111111111,61.9047619048,55.5555555556,58.7301587302,5.5555555556,4.7619047619,11.1111111111,17.4603174603,30.5555555556,30.1587301587,91.6666666667,82.5396825397,11.1111111111,11.1111111111,75,66.6666666667,13.8888888889,12.6984126984,55.5555555556,63.4920634921,47.2222222222,44.4444444444,50,46.0317460317,72.2222222222,68.253968254,69.4444444444,76.1904761905,75,68.253968254,25,30.1587301587,41.6666666667,41.2698412698,38.8888888889,49.2063492063,33.3333333333,42.8571428571,52.7777777778,53.9682539683,61.1111111111,53.9682539683,52.7777777778,55.5555555556,55.5555555556,61.9047619048,58.3333333333,60.3174603175,75,76.1904761905,30.5555555556,31.746031746,16.6666666667,20.6349206349,30.5555555556,36.5079365079
2.2.1.4.1,Ingegneri elettronici,71.4285714286,65.306122449,51.1904761905,49.6598639456,51.1904761905,53.0612244898,47.619047619,43.537414966,53.5714285714,47.619047619,54.7619047619,50.3401360544,69.0476190476,61.2244897959,61.9047619048,57.8231292517,58.3333333333,53.7414965986,78.5714285714,65.9863945578,67.8571428571,61.2244897959,79.7619047619,72.1088435374,63.0952380952,53.0612244898,65.4761904762,56.462585034,66.6666666667,60.5442176871,1.1904761905,1.3605238095,16.6666666667,20.4081632653,11.9047619048,14.2857142857,86.9047619048,68.7073469388,4.7619047619,6.1224489796,67.8571428571,64.6258503401,16.6666666667,14.9659863946,38.0952380952,36.7346938776,60.7142857143,56.462585034,60.7142857143,57.1428571429,70.2380952381,65.306122449,71.4285714286,59.1836734694,67.8571428571,63.2653061224,13.0952380952,14.9659863946,26.1904761905,28.5714285714,44.0476190476,38.0952380952,14.2857142857,12.925170068,60.7142857143,59.1836734694,57.1428571429,50.3401360544,45.2380952381,41.4965986395,48.8095238095,46.9387755102,48.8095238095,48.2993197279,60.7142857143,61.2244897959,25,25.8503401361,29.7619047619,29.9319727891,45.2380952381,41.4965986395
2.2.1.4.2,Ingegneri progettisti di calcolatori e loro periferiche,69.1176470588,64.7058823529,47.0588235294,46.218487395,47.0588235294,45.3781512605,41.1764705882,41.1764705882,57.3529411765,48.7394957983,51.4705882353,44.5378151261,52.9411764706,52.1008403361,72.0588235294,64.7058823529,72.0588235294,58.8235294118,72.0588235294,61.3445378151,69.1176470588,62.1848739496,85.2941176471,73.1092436975,55.8823529412,52.1008403361,54.4117647059,52.1008403361,63.2352941176,61.3445378151,5.8823529412,5.8823529412,14.7058823529,14.2857142857,4.4117647059,5.0419915966,98.5294117647,83.1932773109,4.4117647059,4.2016806723,61.7647058824,61.3445378151,2.9411764706,4.2016554622,45.5882352941,51.2605042017,58.8235294118,57.9831932773,58.8235294118,51.2605042017,63.2352941176,57.9831932773,64.7058823529,63.8655462185,57.3529411765,55.4621848739,10.2941176471,12.6050420168,26.4705882353,26.8907563025,23.5294117647,21.8487394958,25,17.6470588235,51.4705882353,51.2605042017,35.2941176471,31.0924369748,33.8235294118,32.7731092437,48.5294117647,47.8991596639,35.2941176471,33.6134453782,61.7647058824,55.4621848739,19.1176470588,19.3277310924,17.6470588235,18.487394958,22.0588235294,22.6890756303
2.2.1.4.3,Ingegneri in telecomunicazioni,64.4736842105,58.6466165414,53.9473684211,51.1278195489,55.2631578947,49.6240601504,53.9473684211,45.1127819549,51.3157894737,53.3834586466,48.6842105263,45.1127819549,61.8421052632,54.8872180451,64.4736842105,63.1578947368,65.7894736842,58.6466165414,81.5789473684,67.6691729323,65.7894736842,59.3984962406,77.6315789474,72.1804511278,60.5263157895,54.1353383459,53.9473684211,54.1353383459,69.7368421053,63.9097744361,10.5263157895,8.2706766917,18.4210526316,18.7969924812,14.4736842105,14.2857142857,93.4210526316,77.4436090226,5.2631578947,3.7593984962,63.1578947368,59.3984962406,13.1578947368,13.5338345865,40.7894736842,44.3609022556,61.8421052632,57.1428571429,71.0526315789,63.1578947368,72.3684210526,65.4135338346,59.2105263158,50.3759398496,57.8947368421,60.1503759398,21.0526315789,15.7894736842,17.1052631579,16.5413533835,28.9473684211,34.5864661654,15.7894736842,17.2932330827,50,50.3759398496,39.4736842105,39.8496240602,38.1578947368,35.3383458647,34.2105263158,34.5864661654,36.8421052632,42.8571428571,63.1578947368,63.1578947368,11.8421052632,13.5338345865,11.8421052632,10.5263157895,26.3157894737,22.5563909774
2.2.1.5.1,Ingegneri chimici e petroliferi,63.75,60,41.25,47.1428571429,56.25,56.4285714286,45,45.7142857143,58.75,59.2857142857,48.75,51.4285714286,53.75,56.4285714286,71.25,68.5714285714,60,62.1428571429,77.5,70,51.25,57.8571428571,62.5,66.4285714286,57.5,58.5714285714,65,65,67.5,66.4285714286,3.75,6.4285714286,6.25,8.5714285714,16.25,17.8571428571,62.5,54.2857142857,1.25,1.4285714286,27.5,32.8571428571,2.5,5.7142857143,1.25,1.4285714286,46.25,48.5714285714,57.5,59.2857142857,72.5,69.2857142857,52.5,53.5714285714,63.75,65,7.5,10,16.25,21.4285714286,36.25,39.2857142857,5,5.7142642857,56.25,55,50,50,38.75,37.8571428571,47.5,48.5714285714,41.25,47.1428571429,55,60,17.5,18.5714285714,21.25,22.8571428571,30,34.2857142857
2.2.1.5.2,Ingegneri dei materiali,82.8125,64.2857142857,73.4375,66.9642857143,76.5625,63.3928571429,67.1875,55.3571428571,70.3125,58.9285714286,67.1875,58.9285714286,67.1875,55.3571428571,78.125,73.2142857143,81.25,71.4285714286,79.6875,62.5,81.25,69.6428571429,82.8125,70.5357142857,62.5,48.2142857143,73.4375,62.5,78.125,68.75,6.25,6.2499732143,18.75,16.0714285714,20.3125,19.6428571429,84.375,57.1426785714,1.5625,2.6785714286,45.3125,44.6428571429,15.625,12.5,10.9375,8.9285714286,64.0625,54.4642857143,76.5625,64.2857142857,84.375,68.75,79.6875,64.2857142857,81.25,66.0714285714,18.75,17.8571428571,23.4375,23.2142857143,42.1875,37.5,32.8125,28.5714285714,76.5625,55.3571428571,70.3125,52.6785714286,67.1875,55.3571428571,51.5625,39.2857142857,54.6875,43.75,73.4375,66.0714285714,26.5625,26.7857142857,12.5,11.6071428571,43.75,39.2857142857
2.2.1.6.1,Ingegneri edili e ambientali,66.6666666667,60.7142857143,51.0416666667,51.7857142857,58.3333333333,57.1428571429,48.9583333333,50.5952380952,61.4583333333,51.7857142857,51.0416666667,51.7857142857,70.8333333333,58.9285714286,69.7916666667,64.880952381,64.5833333333,58.9285714286,77.0833333333,64.2857142857,48.9583333333,49.4047619048,78.125,67.8571428571,60.4166666667,55.3571428571,65.625,60.119047619,70.8333333333,61.9047619048,11.4583333333,14.880952381,10.4166666667,11.3095238095,7.2916666667,9.5238095238,86.4583333333,66.0714285714,3.125,4.1666666667,40.625,38.6904761905,2.0833333333,3.5714285714,2.0833333333,2.9761904762,67.7083333333,58.9285714286,61.4583333333,54.7619047619,76.0416666667,63.0952380952,71.875,62.5,70.8333333333,60.7142857143,14.5833333333,16.6666666667,21.875,22.619047619,36.4583333333,36.9047619048,21.875,24.4047619048,59.375,57.1428571429,51.0416666667,51.1904761905,32.2916666667,35.7142857143,62.5,54.1666666667,48.9583333333,44.0476190476,53.125,54.1666666667,20.8333333333,22.619047619,13.5416666667,13.6904761905,37.5,36.9047619048
2.2.1.6.2,Ingegneri idraulici,78.75,70.7142857143,55,57.1428571429,61.25,60.7142857143,50,51.4285714286,70,68.5714285714,67.5,65.7142857143,70,67.1428571429,75,72.1428571429,76.25,68.5714285714,78.75,72.1428571429,43.75,42.1428571429,83.75,79.9998571429,57.5,58.5714285714,65,65,75,70.7142857143,3.75,3.5714285714,12.5,12.8571428571,1.25,2.1428571429,78.75,62.8571428571,3.75,2.8571428571,58.75,60,5,7.1428571429,7.5,8.5714285714,62.5,57.1428571429,67.5,62.8571428571,73.75,65.7142857143,76.25,69.2857142857,72.5,67.8571428571,15,15,20,22.8571428571,42.5,50,21.25,19.2857142857,65,63.5714285714,55,56.4285714286,41.25,43.5714285714,53.75,62.8571428571,46.25,54.2857142857,66.25,72.8571428571,26.25,26.4285714286,25,27.8571428571,50,55.7142857143
2.2.1.7.0,Ingegneri industriali e gestionali,80.3571428571,78.5714285714,64.2857142857,64.2857142857,64.2857142857,66.3265306122,41.0714285714,37.7551020408,60.7142857143,51.0204081633,69.6428571429,65.306122449,60.7142857143,57.1428571429,73.2142857143,69.387755102,73.2142857143,71.4285714286,85.7142857143,77.5510204082,66.0714285714,61.2244897959,75,71.4285714286,85.7142857143,76.5306122449,71.4285714286,64.2857142857,83.9285714286,76.5304081633,3.5714285714,2.0408163265,3.5714285714,4.0816326531,5.3571428571,7.1428571429,66.0714285714,61.2244897959,3.5714285714,4.0816326531,41.0714285714,39.7959183673,5.3571428571,7.1428571429,1.7857142857,3.0612244898,51.7857142857,60.2040816327,64.2857142857,60.2040816327,69.6428571429,69.387755102,87.5,78.5714285714,76.7857142857,75.5102040816,26.7857142857,25.5102040816,41.0714285714,44.8979591837,48.2142857143,54.0816326531,26.7857142857,28.5714285714,66.0714285714,65.306122449,58.9285714286,51.0204081633,64.2857142857,61.2244897959,57.1428571429,58.1632653061,58.9285714286,61.2244897959,87.5,86.7346938776,30.3571428571,26.5306122449,44.6428571429,46.9387755102,53.5714285714,54.0816326531
2.2.1.8.0,Ingegneri biomedici e bioingegneri,82.6923076923,70.3296703297,59.6153846154,61.5384615385,57.6923076923,64.8351648352,46.1538461538,50.5494505495,63.4615384615,61.5384615385,55.7692307692,58.2417582418,57.6923076923,57.1428571429,69.2307692308,73.6263736264,67.3076923077,68.1318681319,78.8461538462,74.7252747253,69.2307692308,62.6373626374,78.8461538462,81.3186813187,67.3076923077,65.9340659341,73.0769230769,69.2307692308,80.7692307692,76.9230769231,13.4615384615,14.2857142857,30.7692307692,29.6703296703,19.2307692308,26.3736263736,69.2307692308,59.3406593407,7.6923076923,6.5934065934,55.7692307692,57.1428571429,23.0769230769,26.3736263736,26.9230769231,29.6703296703,65.3846153846,60.4395604396,73.0769230769,69.2307692308,82.6923076923,73.6263736264,78.8461538462,70.3296703297,78.8461538462,67.032967033,42.3076923077,36.2637362637,28.8461538462,24.1758241758,53.8461538462,49.4505494505,25,21.978021978,51.9230769231,48.3516483516,51.9230769231,52.7472527473,53.8461538462,56.043956044,40.3846153846,43.956043956,46.1538461538,47.2527472527,69.2307692308,75.8241758242,32.6923076923,37.3626373626,19.2307692308,18.6813186813,50,46.1538461538
2.2.2.1.1,Architetti,72,63.4285714286,50,53.7142857143,61,56.5714285714,45,44,64,59.4285714286,49,49.1428571429,66,60.5714285714,52,55.4285714286,51,54.2857142857,76,63.4285714286,75,70.2857142857,79,65.1428571429,48,45.7142857143,58,53.7142857143,64,63.4285714286,4,6.2856971429,9,13.1428571429,8,7.4285714286,68,54.2857142857,5,6.2856971429,63,56,1,1.1428571429,5,5.7142857143,45,39.4285714286,47,44,53,46.2857142857,73,60.5714285714,71,63.4285714286,7,10.8571257143,21,20.5714285714,39,40,20,16,46,44.5714285714,34,32.5714285714,22,21.7142857143,32,33.1428571429,32,32,50,45.7142857143,50,46.8571428571,25,24,43,42.2857142857
