up_new,Descrizione,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
5.4.7.1.0,Esercenti di agenzie di pompe funebri,72.8260869565,69.5652173913,88.0434782609,52.1739130435,57.6086956522,52.1739130435,58.6956521739,55.4347826087,23.9130434783,63.0434782609,66.3043478261,55.4347826087,63.0434782609,81.5217391304,79.347826087,62.5,37.5,25,46.7391304348,75,68.4782608696
5.4.7.2.0,Addetti alle agenzie di pompe funebri,76.1904761905,63.0952380952,80.9523809524,52.380952381,60.7142857143,63.0952380952,65.4761904762,67.8571428571,30.9523809524,60.7142857143,48.8095238095,63.0952380952,73.8095238095,78.5714285714,76.1904761905,79.5454545455,79.5454545455,70.4545454545,48.8095238095,56.8181818182,51.1904761905
5.4.8.1.0,Personale di guardiania territoriale,73.4375,68.75,73.4375,32.8125,75,60.9375,70.3125,62.5,35.9375,62.5,42.1875,70.3125,75,71.875,75,68.75,62.5,45.3125,68.75,53.125,56.25
5.4.8.2.0,Vigili urbani,71.25,71.25,75,57.5,77.5,50,82.5,72.5,71.25,63.75,51.25,60,73.75,83.75,80,72.5,75,61.25,60,57.5,68.75
5.4.8.3.1,Agenti della Polizia di Stato,82.8947368421,76.3157894737,84.8684210526,54.6052631579,79.6052631579,39.4736842105,92.1052631579,69.7368421053,72.3684210526,57.8947368421,53.9473684211,76.3157894737,76.9736842105,85.5263157895,84.2105263158,67.1052631579,74.3421052632,75.6578947368,63.1578947368,59.8684210526,64.4736842105
5.4.8.3.2,Agenti della Guardia di Finanza,78.3333333333,70,83.3333333333,35,58.3333333333,50,80,73.3333333333,76.6666666667,60,63.3333333333,73.3333333333,73.3333333333,80,91.6666666667,75,71.6666666667,73.3333333333,70,43.3333333333,56.6666666667
5.4.8.3.3,Agenti del corpo forestale,70,63.75,77.5,46.25,71.25,43.75,75,68.75,55,53.75,53.75,67.5,73.75,78.75,83.75,61.25,67.5,65,58.75,52.5,52.5
5.4.8.4.1,Vigili del fuoco,80.9210526316,82.2368421053,81.5789473684,48.0263157895,65.7894736842,24.3421052632,82.8947368421,71.0526315789,58.5526315789,53.9473684211,60.5263157895,76.3157894737,75,86.1842105263,84.8684210526,65.1315789474,71.7105263158,67.1052631579,57.8947368421,44.7368421053,53.2894736842
5.4.8.4.2,Personale delle squadre antincendio,83.9285714286,73.2142857143,83.9285714286,23.2142857143,62.5,19.6428571429,69.6428571429,67.8571428571,58.9285714286,41.0714285714,60.7142857143,71.4285714286,75,89.2857142857,94.6428571429,76.9230769231,75,71.1538461538,57.1428571429,30.7692307692,48.2142857143
5.4.8.5.0,Agenti di istituti di pena e rieducazione,65.4761904762,64.2857142857,86.9047619048,61.9047619048,65.4761904762,57.1428571429,83.3333333333,48.8095238095,79.7619047619,50,67.8571428571,64.2857142857,64.2857142857,80.9523809524,84.5238095238,55.9523809524,61.9047619048,50,41.6666666667,50,38.0952380952
5.4.8.6.0,Guardie private di sicurezza,67.5,67.5,75,70,48.75,43.75,57.5,67.5,67.5,56.25,46.25,68.75,63.75,77.5,85,72.3684210526,72.3684210526,72.3684210526,47.5,31.5789473684,37.5
