up_new,Descrizione,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40,H41,H42,H43,H44,H45,H46,H47,H48,H49,H50,H51,H52,H53,H54,H55,H56,H57
2.5.5.5.1,Artisti delle forme di cultura popolare,68.4210526316,65.7894736842,86.8421052632,93.4210526316,72.3684210526,77.6315789474,68.4210526316,94.7368421053,51.3157894737,30.2631578947,51.3157894737,38.1578947368,34.2105263158,6.5789473684,44.7368421053,31.5789473684,56.5789473684,43.4210526316,1.3157894737,3.9473684211,55.2631578947,22.3684210526,38.1578947368,5.2631578947,2.6315789474,17.1052631579,0,0,1.3157894737,5.2631578947,5.2631578947,0,19.7368421053,31.5789473684,13.1578947368,39.4736842105,30.2631578947,30.2631578947,69.7368421053,69.7368421053,31.5789473684,32.8947368421,0,0,27.6315789474,52.6315789474,52.6315789474,81.5789473684,2.6315789474,64.4736842105,31.5789473684,86.8421052632,60.5263157895,65.7894736842,6.5789473684,57.8947368421,2.9473684211
2.5.5.5.2,Artisti di varietà,47.7272727273,68.1818181818,86.3636363636,88.6363636364,75,75,59.0909090909,88.6363636364,38.6363636364,25,31.8181818182,25,36.3636363636,13.6363636364,59.0909090909,31.8181818182,40.9090909091,22.7272727273,0,13.6363636364,63.6363636364,20.4545454545,27.2727272727,15.9090909091,0,18.1818181818,0,0,0,20.4545454545,2.2727272727,2.2727272727,9.0909090909,25,9.0909090909,38.6363636364,20.4545454545,22.7272727273,70.4545454545,68.1818181818,25,22.7272727273,0,0,29.5454545455,59.0909090909,52.2727272727,88.6363636364,9.0909090909,77.2727272727,34.0909090909,88.6363636364,88.6363636364,61.3636363636,15.9090909091,54.5454545455,3.0909090909
2.5.5.5.3,Acrobati e artisti circensi,72.7272727273,39.7727272727,67.0454545455,67.0454545455,54.5454545455,94.3181818182,71.5909090909,76.1363636364,43.1818181818,25,31.8181818182,39.7727272727,32.9545454545,10.2272727273,29.5454545455,45.4545454545,47.7272727273,36.3636363636,19.3181818182,1.1363636364,76.1363636364,44.3181818182,32.9545454545,31.8181818182,0,27.2727272727,3.4090909091,0,0,71.5909090909,12.5,5.6818181818,37.5,14.7727272727,45.4545454545,52.2727272727,40.9090909091,63.6363636364,72.7272727273,73.8636363636,59.0909090909,60.2272727273,15.9090909091,5.6818181818,48.8636363636,46.5909090909,34.0909090909,52.2727272727,21.5909090909,80.6818181818,60.2272727273,59.0909090909,72.7272727273,79.5454545455,28.4090909091,52.2727272727,2.6363636364
2.5.6.1.0,Specialisti in discipline religiose e teologiche,83.75,92.5,83.75,78.75,81.25,88.75,85,76.25,77.5,36.25,38.75,47.5,63.75,31.25,70,46.25,31.25,6.25,0,0,65,10,13.75,3.75,1.25,2.5,0,0,5,1.25,0,1.25,3.75,56.25,3.75,35,30,2.5,51.25,12.5,6.25,13.75,0,0,43.75,67.5,63.75,68.75,12.5,76.25,35,68.75,16.25,61.25,0,0,4.55
2.6.1.1.1,Docenti universitari in scienze matematiche e dell'informazione,83.6956521739,78.2608695652,80.4347826087,100,93.4782608696,79.347826087,71.7391304348,45.652173913,67.3913043478,15.2173913043,47.8260869565,36.9565217391,36.9565217391,0,90.2173913043,5.4347826087,1.0869565217,0,0,1.0869565217,35.8695652174,19.5652173913,7.6086956522,6.5217391304,0,0,0,1.0869565217,0,0,0,0,0,72.8260869565,0,16.3043478261,0,0,31.5217391304,42.3913043478,3.2608695652,17.3913043478,0,0,25,52.1739130435,39.1304347826,85.8695652174,10.8695652174,82.6086956522,18.4782608696,85.8695652174,70.652173913,61.9565217391,4.347826087,6.5217391304,3.6956521739
2.6.1.1.2,Docenti universitari in scienze fisiche,93.4210526316,85.5263157895,94.7368421053,100,92.1052631579,86.8421052632,86.8421052632,63.1578947368,84.2105263158,27.6315789474,63.1578947368,40.7894736842,34.2105263158,1.3157894737,97.3684210526,6.5789473684,1.3157894737,1.3157894737,0,0,46.0526315789,15.7894736842,5.2631578947,2.6315789474,10.5263157895,1.3157894737,0,6.5789473684,1.3157894737,0,10.5263157895,1.3157894737,1.3157894737,69.7368421053,0,23.6842105263,1.3157894737,0,44.7368421053,30.2631578947,2.6315789474,10.5263157895,2.6315789474,1.3157894737,38.1578947368,73.6842105263,61.8421052632,90.7894736842,5.2631578947,86.8421052632,10.5263157895,89.4736842105,85.5263157895,65.7894736842,6.5789473684,10.5263157895,3.8421052632
2.6.1.1.3,Docenti universitari in scienze chimiche e farmaceutiche,87.5,78.4090909091,93.1818181818,100,94.3181818182,80.6818181818,85.2272727273,59.0909090909,78.4090909091,61.3636363636,72.7272727273,39.7727272727,34.0909090909,1.1363636364,94.3181818182,26.1363636364,2.2727272727,0,0,4.5454545455,42.0454545455,25,13.6363636364,2.2727272727,37.5,3.4090909091,0,4.5454545455,3.4090909091,0,48.8636363636,0,19.3181818182,71.5909090909,2.2727272727,28.4090909091,1.1363636364,0,38.6363636364,31.8181818182,3.4090909091,18.1818181818,15.9090909091,3.4090909091,57.9545454545,72.7272727273,62.5,84.0909090909,14.7727272727,92.0454545455,26.1363636364,85.2272727273,79.5454545455,57.9545454545,30.6818181818,11.3636363636,3.6818181818
2.6.1.1.4,Docenti universitari in scienze della terra,91.25,86.25,95,100,96.25,82.5,86.25,67.5,82.5,30,67.5,50,40,5,95,18.75,33.75,12.5,7.5,12.5,30,15,16.25,6.25,10,3.75,1.25,17.5,2.5,1.25,10,10,10,75,3.75,23.75,3.75,6.25,45,38.75,8.75,12.5,15,5,45,63.75,65,78.75,11.25,78.75,25,76.25,73.75,68.75,22.5,27.5,3.45
2.6.1.2.1,Docenti universitari in scienze biologiche,87.5,82.5,91.25,98.75,91.25,82.5,86.25,65,77.5,46.25,62.5,31.25,27.5,2.5,100,1.25,3.75,1.25,1.25,2.5,42.5,17.5,3.75,1.25,17.5,1.25,0,5,1.25,1.25,37.5,1.25,2.5,67.5,1.25,27.5,1.25,1.25,41.25,35,1.25,17.5,22.5,3.75,50,62.5,53.75,81.25,10,91.25,20,87.5,77.5,65,13.75,10,3.75
2.6.1.2.2,"Docenti universitari in scienze agrarie, zootecniche e della produzione animale",90.7407407407,81.4814814815,98.1481481481,100,92.5925925926,85.1851851852,92.5925925926,71.2962962963,79.6296296296,49.0740740741,74.0740740741,47.2222222222,45.3703703704,4.6296296296,94.4444444444,17.5925925926,28.7037037037,14.8148148148,3.7037037037,19.4444444444,37.962962963,23.1481481481,20.3703703704,5.5555555556,17.5925925926,5.5555555556,0.9259259259,4.6296296296,12.962962963,0,23.1481481481,5.5555555556,12.962962963,68.5185185185,2.7777777778,25,5.5555555556,3.7037037037,42.5925925926,34.2592592593,6.4814814815,17.5925925926,17.5925925926,4.6296296296,40.7407407407,64.8148148148,56.4814814815,83.3333333333,19.4444444444,74.0740740741,24.0740740741,82.4074074074,65.7407407407,54.6296296296,19.4444444444,16.6666666667,3.962962963
2.6.1.2.3,Docenti universitari in scienze mediche,92.0454545455,80.6818181818,97.7272727273,100,96.5909090909,87.5,92.0454545455,79.5454545455,88.6363636364,61.3636363636,77.2727272727,54.5454545455,53.4090909091,18.1818181818,95.4545454545,21.5909090909,1.1363636364,0,0,2.2727272727,70.4545454545,28.4090909091,7.9545454545,2.2727272727,10.2272727273,3.4090909091,0,19.3181818182,71.5909090909,0,30.6818181818,2.2727272727,32.9545454545,61.3636363636,1.1363636364,31.8181818182,2.2727272727,1.1363636364,48.8636363636,32.9545454545,12.5,19.3181818182,28.4090909091,5.6818181818,79.5454545455,77.2727272727,75,76.1363636364,17.0454545455,92.0454545455,32.9545454545,76.1363636364,75,78.4090909091,27.2727272727,9.0909090909,4.2272727273
2.6.1.3.1,Docenti universitari in scienze ingegneristiche civili e dell’architettura,80.9523809524,78.5714285714,98.8095238095,100,97.619047619,86.9047619048,82.1428571429,66.6666666667,79.7619047619,23.8095238095,48.8095238095,30.9523809524,30.9523809524,2.380952381,95.2380952381,8.3333333333,16.6666666667,8.3333333333,3.5714285714,2.380952381,38.0952380952,15.4761904762,8.3333333333,3.5714285714,3.5714285714,1.1904761905,0,0,1.1904761905,7.1428571429,4.7619047619,5.9523809524,1.1904761905,69.0476190476,5.9523809524,21.4285714286,3.5714285714,4.7619047619,50,17.8571428571,5.9523809524,16.6666666667,4.7619047619,1.1904761905,38.0952380952,61.9047619048,53.5714285714,83.3333333333,22.619047619,84.5238095238,25,83.3333333333,63.0952380952,57.1428571429,5.9523809524,0,3.8095238095
2.6.1.3.2,Docenti universitari in scienze ingegneristiche industriali e dell’informazione,95,78,97,100,93,84,83,76,78,43,66,46,30,0,94,5,3,1,0,1,41,14,4,3,4,1,0,0,4,0,9,5,4,80,1,21,2,1,36,32,2,5,3,1,44,70,59,89,11,85,28,93,87,73,13,20,3.92
2.6.1.4.0,"Docenti universitari in scienze dell'antichità, filologico-letterarie e storico-artistiche",82.6086956522,88.0434782609,89.1304347826,100,97.8260869565,84.7826086957,78.2608695652,66.3043478261,73.9130434783,26.0869565217,55.4347826087,47.8260869565,48.9130434783,1.0869565217,90.2173913043,14.1304347826,6.5217391304,2.1739130435,2.1739130435,7.6086956522,43.4782608696,17.3913043478,5.4347826087,5.4347826087,3.2608695652,1.0869565217,0,3.2608695652,1.0869565217,2.1739130435,2.1739130435,5.4347826087,6.5217391304,76.0869565217,3.2608695652,28.2608695652,5.4347826087,3.2608695652,28.2608695652,41.3043478261,3.2608695652,17.3913043478,4.347826087,2.1739130435,39.1304347826,67.3913043478,69.5652173913,82.6086956522,17.3913043478,91.3043478261,26.0869565217,80.4347826087,71.7391304348,64.1304347826,7.6086956522,6.5217391304,3.9130434783
2.6.1.5.1,Docenti universitari in scienze storiche e filosofiche,84.0909090909,77.2727272727,89.7727272727,98.8636363636,89.7727272727,87.5,78.4090909091,54.5454545455,71.5909090909,17.0454545455,40.9090909091,36.3636363636,35.2272727273,4.5454545455,96.5909090909,1.1363636364,2.2727272727,1.1363636364,0,1.1363636364,38.6363636364,5.6818181818,6.8181818182,3.4090909091,1.1363636364,1.1363636364,0,0,0,0,0,0,1.1363636364,72.7272727273,1.1363636364,21.5909090909,0,1.1363636364,40.9090909091,25,4.5454545455,10.2272727273,1.1363636364,0,34.0909090909,61.3636363636,51.1363636364,81.8181818182,20.4545454545,84.0909090909,15.9090909091,86.3636363636,65.9090909091,52.2727272727,3.4090909091,0,4.1363636364
2.6.1.5.2,Docenti universitari in scienze pedagogiche e psicologiche,85.7142857143,78.5714285714,94.0476190476,97.619047619,89.2857142857,80.9523809524,83.3333333333,66.6666666667,61.9047619048,9.5238095238,51.1904761905,48.8095238095,46.4285714286,9.5238095238,86.9047619048,20.2380952381,1.1904761905,1.1904761905,0,0,40.4761904762,22.619047619,11.9047619048,4.7619047619,0,3.5714285714,0,0,3.5714285714,0,0,0,0,65.4761904762,0,21.4285714286,1.1904761905,0,36.9047619048,27.380952381,1.1904761905,19.0476190476,0,0,38.0952380952,55.9523809524,52.380952381,82.1428571429,7.1428571429,75,11.9047619048,84.5238095238,70.2380952381,66.6666666667,2.380952381,14.2857142857,3.7619047619
2.6.1.6.0,Docenti universitari in scienze economiche e statistiche,80.5555555556,77.7777777778,86.1111111111,100,91.6666666667,79.6296296296,76.8518518519,67.5925925926,66.6666666667,10.1851851852,47.2222222222,37.037037037,35.1851851852,0.9259259259,96.2962962963,10.1851851852,1.8518518519,0,0,0,31.4814814815,6.4814814815,3.7037037037,1.8518518519,0.9259259259,0.9259259259,0,0,1.8518518519,0,0,0,0,79.6296296296,0.9259259259,15.7407407407,0.9259259259,0,33.3333333333,19.4444444444,2.7777777778,4.6296296296,0,0,33.3333333333,60.1851851852,48.1481481481,88.8888888889,8.3333333333,71.2962962963,12.037037037,85.1851851852,67.5925925926,51.8518518519,0,12.962962963,3.962962963
2.6.1.7.1,Docenti universitari in scienze giuridiche,85.2272727273,82.9545454545,87.5,96.5909090909,90.9090909091,92.0454545455,81.8181818182,73.8636363636,81.8181818182,11.3636363636,43.1818181818,42.0454545455,34.0909090909,6.8181818182,93.1818181818,19.3181818182,0,2.2727272727,0,3.4090909091,47.7272727273,10.2272727273,2.2727272727,2.2727272727,2.2727272727,0,0,0,1.1363636364,0,0,0,1.1363636364,73.8636363636,1.1363636364,20.4545454545,1.1363636364,1.1363636364,30.6818181818,27.2727272727,3.4090909091,19.3181818182,0,0,36.3636363636,61.3636363636,55.6818181818,85.2272727273,14.7727272727,84.0909090909,29.5454545455,85.2272727273,63.6363636364,65.9090909091,1.1363636364,13.6363636364,3.3181818182
2.6.1.7.2,Docenti universitari in scienze politiche e sociali,87.5,83.75,85,100,97.5,88.75,75,75,71.25,20,45,45,38.75,3.75,95,11.25,2.5,2.5,0,0,45,17.5,8.75,3.75,0,5,2.5,0,0,0,0,0,1.25,82.5,0,20,2.5,0,27.5,27.5,5,12.5,0,0,36.25,68.75,58.75,86.25,8.75,83.75,20,83.75,66.25,62.5,2.5,15,4.1
2.6.2.1.1,Ricercatori e tecnici laureati nelle scienze matematiche e dell’informazione,86.25,78.75,76.25,98.75,85,72.5,75,56.25,57.5,6.25,38.75,25,25,0,92.5,11.25,1.25,1.25,0,0,41.25,10,5,2.5,0,0,0,0,1.25,0,0,0,0,78.75,0,18.75,0,1.25,35,32.5,1.25,18.75,0,0,23.75,50,41.25,81.25,8.75,82.5,28.75,77.5,73.75,55,6.25,10,3.6
2.6.2.1.2,Ricercatori e tecnici laureati nelle scienze fisiche,95.652173913,67.3913043478,93.4782608696,100,88.0434782609,82.6086956522,88.0434782609,51.0869565217,73.9130434783,30.4347826087,60.8695652174,30.4347826087,31.5217391304,1.0869565217,98.9130434783,6.5217391304,3.2608695652,2.1739130435,0,0,48.9130434783,18.4782608696,5.4347826087,3.2608695652,13.0434782609,0,0,19.5652173913,1.0869565217,1.0869565217,23.9130434783,5.4347826087,9.7826086957,68.4782608696,2.1739130435,25,5.4347826087,3.2608695652,40.2173913043,45.652173913,7.6086956522,13.0434782609,15.2173913043,5.4347826087,33.6956521739,57.6086956522,51.0869565217,80.4347826087,15.2173913043,84.7826086957,21.7391304348,79.347826087,83.6956521739,64.1304347826,29.347826087,8.6956521739,3.7826086957
2.6.2.1.3,Ricercatori e tecnici laureati nelle scienze chimiche e farmaceutiche,82.2916666667,64.5833333333,82.2916666667,100,98.9583333333,82.2916666667,81.25,46.875,76.0416666667,63.5416666667,64.5833333333,32.2916666667,25,0,93.75,16.6666666667,2.0833333333,1.0416666667,0,0,53.125,42.7083333333,11.4583333333,10.4166666667,53.125,2.0833333333,0,18.75,18.75,0,76.0416666667,3.125,26.0416666667,54.1666666667,2.0833333333,30.2083333333,6.25,4.1666666667,50,58.3333333333,9.375,20.8333333333,63.5416666667,16.6666666667,63.5416666667,59.375,50,80.2083333333,15.625,86.4583333333,19.7916666667,85.4166666667,67.7083333333,55.2083333333,32.2916666667,12.5,3.7083333333
2.6.2.1.4,Ricercatori e tecnici laureati nelle scienze della terra,91.6666666667,66.6666666667,88.0952380952,100,91.6666666667,80.9523809524,76.1904761905,61.9047619048,67.8571428571,38.0952380952,65.4761904762,40.4761904762,29.7619047619,4.7619047619,95.2380952381,23.8095238095,39.2857142857,15.4761904762,0,4.7619047619,32.1428571429,15.4761904762,17.8571428571,5.9523809524,14.2857142857,4.7619047619,1.1904761905,4.7619047619,4.7619047619,5.9523809524,7.1428571429,11.9047619048,11.9047619048,63.0952380952,7.1428571429,27.380952381,10.7142857143,8.3333333333,39.2857142857,41.6666666667,10.7142857143,16.6666666667,20.2380952381,4.7619047619,48.8095238095,52.380952381,41.6666666667,75,17.8571428571,78.5714285714,27.380952381,73.8095238095,60.7142857143,57.1428571429,19.0476190476,14.2857142857,3.5714285714
2.6.2.2.1,Ricercatori e tecnici laureati nelle scienze biologiche,92.5,71.25,88.75,100,93.75,82.5,87.5,55,63.75,47.5,65,40,41.25,0,100,11.25,2.5,0,2.5,0,53.75,31.25,5,1.25,33.75,13.75,3.75,15,18.75,0,55,5,12.5,65,0,23.75,2.5,0,33.75,53.75,11.25,16.25,45,6.25,46.25,53.75,50,77.5,12.5,91.25,23.75,72.5,67.5,62.5,32.5,2.5,3.55
2.6.2.2.2,"Ricercatori e tecnici laureati nelle scienze agrarie, zootecniche e della produzione animale",86.5384615385,70.1923076923,91.3461538462,100,95.1923076923,85.5769230769,81.7307692308,56.7307692308,70.1923076923,49.0384615385,62.5,32.6923076923,33.6538461538,0.9615384615,89.4230769231,16.3461538462,25.9615384615,12.5,0.9615384615,6.7307692308,36.5384615385,29.8076923077,18.2692307692,5.7692307692,22.1153846154,4.8076923077,3.8461538462,5.7692307692,4.8076923077,0.9615384615,29.8076923077,10.5769230769,16.3461538462,68.2692307692,0.9615384615,27.8846153846,7.6923076923,6.7307692308,35.5769230769,46.1538461538,13.4615384615,22.1153846154,25.9615384615,2.8846153846,45.1923076923,62.5,51.9230769231,78.8461538462,22.1153846154,82.6923076923,38.4615384615,81.7307692308,69.2307692308,56.7307692308,35.5769230769,21.1538461538,3.4615384615
2.6.2.2.3,Ricercatori e tecnici laureati nelle scienze mediche,84.5238095238,60.7142857143,92.8571428571,100,97.619047619,90.4761904762,90.4761904762,71.4285714286,78.5714285714,48.8095238095,73.8095238095,52.380952381,47.619047619,5.9523809524,98.8095238095,5.9523809524,1.1904761905,1.1904761905,0,0,65.4761904762,19.0476190476,3.5714285714,4.7619047619,15.4761904762,3.5714285714,0,13.0952380952,57.1428571429,0,19.0476190476,4.7619047619,32.1428571429,58.3333333333,0,33.3333333333,2.380952381,1.1904761905,50,42.8571428571,4.7619047619,13.0952380952,25,10.7142857143,75,67.8571428571,65.4761904762,72.619047619,4.7619047619,90.4761904762,28.5714285714,67.8571428571,72.619047619,78.5714285714,36.9047619048,2.380952381,3.9047619048
2.6.2.3.1,Ricercatori e tecnici laureati nelle scienze ingegneristiche civili e dell’architettura,81.5217391304,71.7391304348,89.1304347826,100,96.7391304348,71.7391304348,76.0869565217,65.2173913043,66.3043478261,13.0434782609,48.9130434783,44.5652173913,30.4347826087,6.5217391304,94.5652173913,22.8260869565,21.7391304348,16.3043478261,0,4.347826087,50,28.2608695652,11.9565217391,6.5217391304,4.347826087,3.2608695652,2.1739130435,0,0,5.4347826087,3.2608695652,4.347826087,4.347826087,67.3913043478,5.4347826087,18.4782608696,9.7826086957,4.347826087,36.9565217391,30.4347826087,6.5217391304,13.0434782609,10.8695652174,2.1739130435,46.7391304348,61.9565217391,52.1739130435,73.9130434783,18.4782608696,78.2608695652,19.5652173913,73.9130434783,64.1304347826,59.7826086957,14.1304347826,10.8695652174,3.9130434783
2.6.2.3.2,Ricercatori e tecnici laureati nelle scienze ingegneristiche industriali e dell’informazione,84.0909090909,69.3181818182,87.5,100,97.7272727273,78.4090909091,87.5,68.1818181818,67.0454545455,35.2272727273,63.6363636364,38.6363636364,31.8181818182,1.1363636364,100,15.9090909091,7.9545454545,7.9545454545,3.4090909091,2.2727272727,46.5909090909,23.8636363636,9.0909090909,3.4090909091,1.1363636364,1.1363636364,0,1.1363636364,1.1363636364,2.2727272727,14.7727272727,7.9545454545,6.8181818182,71.5909090909,3.4090909091,19.3181818182,2.2727272727,1.1363636364,31.8181818182,45.4545454545,5.6818181818,19.3181818182,11.3636363636,0,39.7727272727,59.0909090909,44.3181818182,78.4090909091,13.6363636364,86.3636363636,11.3636363636,84.0909090909,79.5454545455,57.9545454545,19.3181818182,15.9090909091,3.9090909091
2.6.2.4.0,"Ricercatori e tecnici laureati nelle scienze dell'antichità, filologico-letterarie e storico-artistiche",73.6111111111,77.7777777778,81.9444444444,98.6111111111,95.8333333333,76.3888888889,65.2777777778,52.7777777778,54.1666666667,9.7222222222,26.3888888889,27.7777777778,29.1666666667,1.3888888889,87.5,29.1666666667,15.2777777778,11.1111111111,1.3888888889,13.8888888889,63.8888888889,16.6666666667,5.5555555556,6.9444444444,0,4.1666666667,1.3888888889,0,0,5.5555555556,0,1.3888888889,5.5555555556,76.3888888889,8.3333333333,29.1666666667,4.1666666667,2.7777777778,29.1666666667,33.3333333333,5.5555555556,8.3333333333,4.1666666667,0,20.8333333333,56.9444444444,48.6111111111,77.7777777778,9.7222222222,80.5555555556,20.8333333333,76.3888888889,54.1666666667,47.2222222222,0,13.8888888889,3.7777777778
2.6.2.5.1,Ricercatori e tecnici laureati nelle scienze storiche e filosofiche,77.6315789474,68.4210526316,77.6315789474,100,92.1052631579,81.5789473684,81.5789473684,22.3684210526,53.9473684211,3.9473684211,42.1052631579,30.2631578947,23.6842105263,1.3157894737,61.8421052632,17.1052631579,2.6315789474,2.6315789474,1.3157894737,0,43.4210526316,11.8421052632,6.5789473684,0,2.6315789474,0,0,3.9473684211,2.6315789474,0,0,0,0,81.5789473684,1.3157894737,18.4210526316,1.3157894737,1.3157894737,35.5263157895,35.5263157895,3.9473684211,23.6842105263,0,0,27.6315789474,43.4210526316,35.5263157895,76.3157894737,1.3157894737,77.6315789474,17.1052631579,84.2105263158,68.4210526316,63.1578947368,0,7.8947368421,4.0526315789
2.6.2.5.2,Ricercatori e tecnici laureati nelle scienze pedagogiche e psicologiche,84.5238095238,73.8095238095,84.5238095238,100,92.8571428571,78.5714285714,84.5238095238,65.4761904762,70.2380952381,11.9047619048,51.1904761905,53.5714285714,54.7619047619,10.7142857143,95.2380952381,10.7142857143,1.1904761905,1.1904761905,0,0,45.2380952381,25,2.380952381,2.380952381,0,0,1.1904761905,0,2.380952381,0,0,0,0,70.2380952381,0,20.2380952381,2.380952381,0,35.7142857143,27.380952381,3.5714285714,5.9523809524,1.1904761905,0,39.2857142857,53.5714285714,41.6666666667,79.7619047619,14.2857142857,85.7142857143,23.8095238095,83.3333333333,78.5714285714,63.0952380952,1.1904761905,16.6666666667,3.619047619
2.6.2.6.0,Ricercatori e tecnici laureati nelle scienze economiche e statistiche,92.1052631579,80.2631578947,84.2105263158,100,94.7368421053,80.2631578947,75,52.6315789474,55.2631578947,7.8947368421,40.7894736842,38.1578947368,40.7894736842,2.6315789474,97.3684210526,0,0,0,0,2.6315789474,42.1052631579,21.0526315789,3.9473684211,0,0,0,0,0,1.3157894737,0,0,0,0,78.9473684211,0,13.1578947368,0,1.3157894737,28.9473684211,27.6315789474,0,22.3684210526,0,0,34.2105263158,55.2631578947,51.3157894737,76.3157894737,23.6842105263,84.2105263158,27.6315789474,84.2105263158,77.6315789474,57.8947368421,9.2105263158,10.5263157895,3.6842105263
2.6.2.7.1,Ricercatori e tecnici laureati nelle scienze giuridiche,86.25,80,86.25,97.5,92.5,78.75,82.5,55,63.75,7.5,40,38.75,36.25,2.5,92.5,22.5,1.25,0,0,1.25,56.25,16.25,12.5,1.25,0,2.5,0,0,1.25,0,0,0,1.25,77.5,2.5,18.75,0,2.5,28.75,33.75,2.5,20,0,0,46.25,63.75,51.25,58.75,11.25,81.25,22.5,70,81.25,63.75,1.25,2.5,4.05
2.6.2.7.2,Ricercatori e tecnici laureati nelle scienze politiche e sociali,87.5,72.5,87.5,96.25,97.5,83.75,83.75,63.75,57.5,6.25,40,46.25,41.25,1.25,96.25,2.5,5,2.5,0,2.5,43.75,12.5,1.25,1.25,0,1.25,0,0,1.25,0,0,0,1.25,81.25,0,18.75,1.25,1.25,30,22.5,2.5,20,0,0,41.25,63.75,50,72.5,13.75,80,22.5,78.75,61.25,61.25,2.5,10,3.85
2.6.3.1.1,Professori di discipline artistiche nelle accademie di belle arti e nelle istituzioni scolastiche assimilate,85,82.5,76.25,85,83.75,87.5,83.75,63.75,77.5,46.25,58.75,28.75,23.75,5,63.75,38.75,12.5,6.25,1.25,2.5,70,21.25,8.75,5,3.75,2.5,0,0,0,1.25,2.5,11.25,15,50,3.75,33.75,8.75,3.75,61.25,42.5,15,7.5,8.75,0,27.5,43.75,41.25,73.75,18.75,73.75,37.5,82.5,61.25,68.75,10,10,2.55
2.6.3.1.2,Professori di discipline musicali nei conservatori e nelle istituzioni scolastiche assimilate,64.2857142857,61.9047619048,50,77.380952381,66.6666666667,76.1904761905,80.9523809524,61.9047619048,71.4285714286,23.8095238095,45.2380952381,35.7142857143,33.3333333333,0,98.8095238095,14.2857142857,4.7619047619,2.380952381,0,15.4761904762,75,26.1904761905,5.9523809524,0,0,0,0,0,2.380952381,0,0,0,0,66.6666666667,0,17.8571428571,3.5714285714,4.7619047619,44.0476190476,77.380952381,30.9523809524,64.2857142857,0,0,28.5714285714,54.7619047619,51.1904761905,69.0476190476,17.8571428571,84.5238095238,70.2380952381,82.1428571429,63.0952380952,55.9523809524,11.9047619048,16.6666666667,2.1904761905
2.6.3.1.3,Professori di arte drammatica e danza nelle accademie e nelle istituzioni scolastiche assimilate,86.8421052632,86.8421052632,75,77.6315789474,88.1578947368,85.5263157895,85.5263157895,76.3157894737,77.6315789474,53.9473684211,69.7368421053,34.2105263158,40.7894736842,10.5263157895,71.0526315789,27.6315789474,9.2105263158,3.9473684211,0,0,84.2105263158,31.5789473684,9.2105263158,15.7894736842,0,1.3157894737,0,0,11.8421052632,2.6315789474,2.6315789474,0,2.6315789474,40.7894736842,2.6315789474,40.7894736842,26.3157894737,23.6842105263,60.5263157895,31.5789473684,34.2105263158,39.4736842105,0,0,36.8421052632,65.7894736842,63.1578947368,81.5789473684,1.3157894737,77.6315789474,48.6842105263,89.4736842105,56.5789473684,61.8421052632,0,13.1578947368,1.8421052632
2.6.3.2.1,"Professori di scienze matematiche, fisiche e chimiche nella scuola secondaria superiore",82.9545454545,90.9090909091,39.7727272727,71.5909090909,87.5,93.1818181818,88.6363636364,52.2727272727,63.6363636364,23.8636363636,22.7272727273,34.0909090909,31.8181818182,6.8181818182,89.7727272727,23.8636363636,0,0,0,0,60.2272727273,32.9545454545,2.2727272727,0,0,0,0,0,12.5,0,1.1363636364,0,0,46.5909090909,0,23.8636363636,0,0,63.6363636364,27.2727272727,2.2727272727,20.4545454545,1.1363636364,0,44.3181818182,65.9090909091,57.9545454545,55.6818181818,11.3636363636,82.9545454545,38.6363636364,67.0454545455,28.4090909091,64.7727272727,2.2727272727,9.0909090909,2.1818181818
2.6.3.2.2,Professori di scienze della vita e della salute nella scuola secondaria superiore,83.75,88.75,46.25,60,75,88.75,81.25,48.75,63.75,38.75,32.5,40,45,8.75,76.25,36.25,30,6.25,1.25,0,68.75,25,11.25,2.5,0,0,0,0,5,2.5,2.5,0,2.5,32.5,2.5,47.5,20,18.75,72.5,36.25,21.25,27.5,5,0,43.75,53.75,48.75,63.75,18.75,70,37.5,75,31.25,53.75,15,5,1.65
2.6.3.2.3,Professori di discipline tecnico-ingegneristiche nella scuola secondaria superiore,91.6666666667,94.4444444444,47.2222222222,72.2222222222,77.7777777778,91.6666666667,77.7777777778,51.3888888889,58.3333333333,29.1666666667,38.8888888889,48.6111111111,37.5,1.3888888889,98.6111111111,12.5,2.7777777778,0,0,1.3888888889,68.0555555556,16.6666666667,0,0,1.3888888889,0,1.3888888889,1.3888888889,1.3888888889,0,1.3888888889,1.3888888889,1.3888888889,52.7777777778,0,26.3888888889,0,0,56.9444444444,31.9444444444,4.1666666667,12.5,1.3888888889,0,40.2777777778,58.3333333333,58.3333333333,72.2222222222,18.0555555556,77.7777777778,43.0555555556,80.5555555556,33.3333333333,62.5,4.1666666667,2.7777777778,2.1666666667
2.6.3.2.4,Professori di scienze dell'informazione nella scuola secondaria superiore,75,75,40,71.25,80,72.5,65,40,52.5,20,22.5,36.25,33.75,3.75,90,2.5,0,0,0,0,62.5,16.25,2.5,2.5,0,0,0,0,3.75,0,0,0,0,48.75,0,23.75,0,2.5,61.25,36.25,2.5,15,0,0,36.25,43.75,50,53.75,20,81.25,31.25,60,27.5,47.5,11.25,10,1.95
