up_new,Descrizione,C1a,C1B,C2a,C2b,C3a,C3b,C4a,C4b,C5a,C5b,C6a,C6b,C7a,C7b,C8a,C8b,C9a,C9b,C10a,C10b,C11a,C11b,C12a,C12b,C13a,C13b,C14a,C14b,C15a,C15b,C16a,C16b,C17a,C17b,C18a,C18b,C19a,C19b,C20a,C20b,C21a,C21b,C22a,C22b,C23a,C23b,C24a,C24b,C25a,C25b,C26a,C26b,C27a,C27b,C28a,C28b,C29a,C29b,C30a,C30b,C31a,C31b,C32a,C32b,C33a,C33b,C34a,C34b,C35a,C35b
2.5.3.3.2,Psicologi dello sviluppo e dell’educazione,90.9090909091,80.5194805195,97.7272727273,85.7142857143,90.9090909091,81.8181818182,95.4545454545,84.4155844156,29.5454545455,32.4675324675,43.1818181818,40.2597402597,88.6363636364,76.6233766234,88.6363636364,83.1168831169,84.0909090909,70.1298701299,65.9090909091,61.038961039,90.9090909091,81.8181818182,72.7272727273,67.5324675325,40.9090909091,50.6493506494,65.9090909091,57.1428571429,59.0909090909,55.8441558442,79.5454545455,75.3246753247,84.0909090909,75.3246753247,72.7272727273,66.2337662338,11.3636363636,11.6883116883,54.5454545455,49.3506493506,6.8181818182,9.0909090909,2.2727272727,2.5974025974,25,24.6753246753,0,0,2.2727272727,2.5974025974,0,0,18.1818181818,18.1818181818,0,0,22.7272727273,20.7792207792,27.2727272727,24.6753246753,56.8181818182,53.2467532468,79.5454545455,76.6233766234,54.5454545455,51.9480519481,45.4545454545,41.5584415584,31.8181818182,29.8701298701
2.5.3.3.3,Psicologi del lavoro e delle organizzazioni,79.1666666667,75,91.6666666667,82.1428571429,85.4166666667,76.1904761905,87.5,78.5714285714,20.8333333333,21.4285714286,37.5,35.7142857143,77.0833333333,71.4285714286,75,67.8571428571,75,70.2380952381,70.8333333333,61.9047619048,77.0833333333,75,72.9166666667,71.4285714286,58.3333333333,52.380952381,75,61.9047619048,75,67.8571428571,79.1666666667,70.2380952381,70.8333333333,65.4761904762,45.8333333333,52.380952381,2.0833333333,3.5714285714,22.9166666667,20.2380952381,0,0,0,0,16.6666666667,17.8571428571,0,0,0,0,0,0,2.0833333333,2.3809166667,0,0,33.3333333333,35.7142857143,35.4166666667,36.9047619048,56.25,52.380952381,79.1666666667,73.8095238095,33.3333333333,35.7142857143,31.25,33.3333333333,64.5833333333,63.0952380952
2.5.3.4.1,Storici,97.5,78.5714285714,88.75,77.8571428571,96.25,87.1428571429,87.5,77.1428571429,21.25,25.7142857143,45,47.1428571429,96.25,80,82.5,77.857,87.5,75,60,58.5714285714,61.25,55,70,67.1428571429,36.25,38.5714285714,52.5,47.8571428571,77.5,67.1428571429,43.75,38.5714285714,77.5,68.5714285714,62.5,57.1428571429,26.25,22.8571428571,50,45.7142857143,1.25,1.42855,0,0,13.75,12.8571428571,2.5,3.5714285714,23.75,26.4285714286,3.75,2.8571214286,21.25,22.1428571429,2.5,3.5714285714,31.25,34.2857142857,30,27.1428571429,60,57.1428571429,76.25,71.4285714286,71.25,67.8571428571,45,45,63.75,52.8571428571
2.5.3.4.2,Esperti d’arte,87.5,75.51,73.2142857143,65.306122449,87.5,69.387755102,83.9285714286,75.5102040816,21.4285714286,22.4489795918,35.7142857143,33.6734693878,80.3571428571,69.387755102,71.4285714286,65.306122449,55.3571428571,53.0612244898,48.2142857143,44.8979591837,48.2142857143,45.9183673469,57.1428571429,51.0204081633,44.6428571429,48.9795918367,55.3571428571,47.9591836735,57.1428571429,57.1428571429,46.4285714286,44.8979591837,57.1428571429,53.0612244898,53.5714285714,44.8979591837,10.7142857143,9.1836734694,57.1428571429,47.9591836735,5.3571428571,6.1224183673,0,0,30.3571428571,27.5510204082,0,0,7.1428571429,6.1224489796,0,0,12.5,14.2857142857,0,0,10.7142857143,12.2448979592,5.3571428571,7.1428571429,51.7857142857,42.8571428571,60.7142857143,48.9795918367,50,41.8367346939,39.2857142857,34.693877551,26.7857142857,22.4489795918
2.5.3.4.3,Specialisti in scienza politica,96.1538461538,87.9120879121,90.3846153846,75.8241758242,100,90.1098901099,88.4615384615,84.6153846154,38.4615384615,48.3516483516,51.9230769231,54.9450549451,96.1538461538,91.2087912088,82.6923076923,80.2197802198,71.1538461538,70.3296703297,61.5384615385,67.032967033,73.0769230769,70.3296703297,78.8461538462,79.1208791209,44.2307692308,47.2527472527,65.3846153846,60.4395604396,65.3846153846,73.6263736264,75,70.3296703297,73.0769230769,69.2307692308,65.3846153846,63.7362637363,21.1538461538,27.4725274725,61.5384615385,60.4395604396,5.7692307692,5.4945054945,0,0,26.9230769231,30.7692307692,0,0,13.4615384615,18.6813186813,1.9230769231,4.3956043956,38.4615384615,40.6593406593,0,0,28.8461538462,34.0659340659,28.8461538462,34.0659340659,63.4615384615,70.3296703297,80.7692307692,75.8241758242,61.5384615385,61.5384615385,28.8461538462,35.1648351648,57.6923076923,62.6373626374
2.5.3.4.4,Filosofi,96.25,78.5714285714,98.75,85,80,72.8571428571,97.5,80.7142857143,23.75,27.1428571429,36.25,34.2857142857,97.5,79.2857142857,91.25,74.2857142857,76.25,72.1428571429,55,59.2857142857,75,68.5714285714,76.25,67.8571428571,37.5,45.7142857143,68.75,66.4285714286,52.5,50.7142857143,53.75,58.5714285714,77.5,65.7142857143,58.75,55.7142857143,6.25,7.1428357143,40,35,2.5,2.8571428571,0,0,16.25,15.7142857143,0,0,0,0,0,0,3.75,3.5714071429,0,0,13.75,15,21.25,20,52.5,47.8571428571,63.75,55.7142857143,35,35,20,21.4285714286,38.75,37.8571428571
2.5.4.1.1,Scrittori e poeti,97.5,83.5714285714,93.75,76.4285714286,97.5,89.2855714286,85,76.4285714286,10,15,12.5,15,80,65,72.5,62.8571428571,52.5,42.1428571429,46.25,30,83.75,64.2857142857,38.75,42.1428571429,23.75,26.4285714286,32.5,27.8571428571,42.5,35,35,23.5714285714,43.75,35,20,20,2.5,5,18.75,18.5714285714,1.25,2.1428571429,0,0,0,0,0,0,1.25,2.1428571429,2.5,3.5714071429,2.5,3.5714071429,0,0,3.75,5,3.75,5,40,36.4285714286,60,37.8571428571,17.5,17.1428571429,7.5,6.4285714286,8.75,9.2857142857
2.5.4.1.2,Dialoghisti e parolieri,100,87.619047619,78.3333333333,77.1428571429,90,84.7619047619,75,71.4285714286,10,15.2380952381,8.3333333333,10.4761904762,76.6666666667,66.6666666667,65,60,48.3333333333,51.4285714286,51.6666666667,46.6666666667,51.6666666667,48.5714285714,45,46.6666666667,16.6666666667,21.9047619048,45,43.8095238095,36.6666666667,36.1904761905,55,46.6666666667,58.3333333333,48.5714285714,53.3333333333,52.380952381,5,6.6666380952,36.6666666667,39.0476190476,11.6666666667,11.4285714286,0,0,6.6666666667,6.6666380952,0,0,6.6666666667,8.5714285714,5,5.7142857143,15,13.3333333333,0,0,1.6666666667,1.9047333333,1.6666666667,2.8571428571,35,31.4285714286,78.3333333333,62.8571428571,13.3333333333,16.1904761905,16.6666666667,20.9523809524,6.6666666667,10.4761619048
2.5.4.1.3,Redattori di testi per la pubblicità,89.4736842105,67.6691729323,82.8947368421,63.1578947368,86.8421052632,78.9473684211,82.8947368421,66.1654135338,17.1052631579,20.3007518797,10.5263157895,11.2781954887,73.6842105263,63.1578947368,65.7894736842,60.1503759398,39.4736842105,36.0902255639,52.6315789474,46.6165413534,71.0526315789,54.1353383459,71.0526315789,61.6541353383,63.1578947368,61.6541353383,68.4210526316,57.8947368421,39.4736842105,33.0827067669,69.7368421053,56.3909774436,60.5263157895,53.3834586466,51.3157894737,46.6165413534,13.1578947368,12.7819548872,27.6315789474,29.3233082707,9.2105263158,9.7744360902,0,0,22.3684210526,18.045112782,1.3157894737,1.5037593985,2.6315789474,3.7593984962,3.9473684211,6.015037594,17.1052631579,16.5413533835,0,0,5.2631578947,6.015037594,3.9473684211,4.5112781955,50,44.3609022556,65.7894736842,55.6390977444,34.2105263158,30.8270676692,27.6315789474,23.3082706767,30.2631578947,24.8120300752
2.5.4.1.4,Redattori di testi tecnici,82.5,68.5714285714,68.75,58.5714285714,82.5,75,70,62.8571428571,28.75,25.7142857143,36.25,31.4285714286,66.25,59.2857142857,63.75,61.4285714286,53.75,50.7142857143,57.5,50,50,42.8571428571,65,60.7142857143,33.75,33.5714285714,42.5,40,58.75,50,58.75,55,62.5,51.4285714286,62.5,57.1428571429,33.75,29.2857142857,56.25,52.8571428571,20,19.2857142857,5,4.2857142857,50,43.5714285714,5,7.1428142857,23.75,18.5714285714,5,6.42855,41.25,35,5,4.9999785714,36.25,30,31.25,30,50,47.8571428571,57.5,57.8571428571,32.5,29.2857142857,41.25,32.8571428571,37.5,36.4285714286
2.5.4.2.0,Giornalisti,97.619047619,80.2721088435,91.6666666667,74.8299319728,98.8095238095,85.0340136054,90.4761904762,74.1496598639,16.6666666667,20.4081632653,14.2857142857,12.925170068,79.7619047619,64.6258503401,69.0476190476,60.5442176871,47.619047619,50.3401360544,57.1428571429,56.462585034,64.2857142857,58.5034013605,78.5714285714,68.0272108844,35.7142857143,45.5782312925,50,44.8979591837,52.380952381,53.7414965986,54.7619047619,51.7006802721,57.1428571429,48.9795918367,45.2380952381,36.7346938776,14.2857142857,12.925170068,38.0952380952,37.4149659864,4.7619047619,6.1224285714,3.5714285714,3.4013605442,21.4285714286,19.0476190476,3.5714285714,3.4013401361,10.7142857143,8.843537415,2.380952381,0.6802721088,27.380952381,21.0884353741,0,0,15.4761904762,14.9659863946,22.619047619,23.8095238095,33.3333333333,27.8911564626,79.7619047619,61.9047619048,29.7619047619,30.612244898,35.7142857143,31.2925170068,51.1904761905,42.8571428571
2.5.4.3.0,Interpreti e traduttori di livello elevato,96.25,80,71.25,65.7142857143,86.25,75,67.5,62.8571428571,15,18.5714285714,16.25,15,52.5,47.8571428571,63.75,61.4285714286,45,44.2857142857,45,42.1428571429,26.25,25.7142857143,52.5,51.4285714286,20,23.5714285714,27.5,28.5714285714,23.75,21.4285714286,51.25,47.1428571429,50,44.2857142857,48.75,46.4285714286,6.25,7.1428571429,38.75,37.8571428571,13.75,13.5714285714,3.75,4.2857142857,25,21.4285714286,2.5,1.4285714286,7.5,8.5714285714,7.5,7.8571428571,28.75,30.7142857143,3.75,4.2857142857,15,15,17.5,17.8571428571,46.25,44.2857142857,82.5,67.8571428571,47.5,46.4285714286,33.75,34.2857142857,32.5,31.4285714286
2.5.4.4.1,Linguisti e filologi,93.75,82.8571428571,88.75,82.1428571429,91.25,81.4285714286,91.25,80,30,35.7142857143,42.5,43.5714285714,83.75,78.5714285714,85,80,82.5,77.8571428571,75,71.4285714286,66.25,67.8571428571,71.25,75.7142857143,52.5,59.2857142857,55,60.7142857143,87.5,77.1427142857,52.5,55,77.5,72.8571428571,61.25,60,18.75,24.2857142857,50,45,15,16.4285714286,6.25,6.42855,27.5,35.7142857143,0,0,2.5,4.2857142857,6.25,10,17.5,20,3.75,5,12.5,17.1428571429,13.75,16.4285714286,48.75,46.4285714286,82.5,76.4285714286,58.75,67.8571428571,53.75,56.4285714286,65,62.1428571429
2.5.4.4.2,Revisori di testi,96.4285714286,74.8299319728,71.4285714286,62.5850340136,84.5238095238,70.7482993197,73.8095238095,64.6258503401,20.2380952381,20.4081632653,17.8571428571,18.3673469388,65.4761904762,57.8231292517,58.3333333333,51.0204081633,47.619047619,44.2176870748,57.1428571429,54.4217687075,50,45.5782312925,61.9047619048,60.5442176871,41.6666666667,42.1768707483,52.380952381,48.2993197279,46.4285714286,40.8163265306,47.619047619,44.2176870748,51.1904761905,44.8979591837,50,44.2176870748,3.5714285714,4.0816122449,42.8571428571,42.8571428571,5.9523809524,6.8027006803,1.1904761905,1.3605238095,35.7142857143,33.3333333333,1.1904761905,0.6802721088,2.380952381,3.4013401361,4.7619047619,4.7619047619,16.6666666667,16.3265306122,0,0,7.1428571429,7.4829931973,3.5714285714,4.0816122449,52.380952381,45.5782312925,70.2380952381,57.1428571429,27.380952381,25.8503401361,27.380952381,26.5306122449,38.0952380952,34.693877551
2.5.4.5.1,Archivisti,79.4117647059,68.0672268908,64.7058823529,63.8655462185,82.3529411765,72.268907563,69.1176470588,63.025210084,22.0588235294,24.3697478992,16.1764705882,16.8067226891,69.1176470588,61.3445378151,64.7058823529,59.6638655462,33.8235294118,34.4537815126,39.7058823529,40.3361344538,30.8823529412,29.4117647059,51.4705882353,51.2605042017,27.9411764706,38.6554621849,42.6470588235,38.6554621849,41.1764705882,43.6974789916,51.4705882353,51.2605042017,47.0588235294,43.6974789916,55.8823529412,52.1008403361,10.2941176471,12.6050420168,47.0588235294,47.8991596639,13.2352941176,11.7647058824,4.4117647059,6.7226638655,36.7647058824,33.6134453782,1.4705882353,4.2016806723,13.2352941176,12.6050420168,11.7647058824,9.243697479,22.0588235294,21.8487394958,4.4117647059,6.7226890756,19.1176470588,19.3277310924,14.7058823529,15.1260504202,51.4705882353,46.218487395,57.3529411765,55.4621848739,39.7058823529,35.2941176471,50,46.218487395,36.7647058824,34.4537815126
2.5.4.5.2,Bibliotecari,88.0434782609,70.1863354037,80.4347826087,69.5652173913,81.5217391304,69.5652173913,83.6956521739,70.1863354037,23.9130434783,26.0869565217,22.8260869565,24.2236024845,69.5652173913,65.2173913043,67.3913043478,65.2173913043,52.1739130435,52.7950310559,56.5217391304,55.2795031056,53.2608695652,52.7950310559,76.0869565217,63.9751552795,31.5217391304,32.298136646,52.1739130435,46.5838509317,55.4347826087,52.7950310559,67.3913043478,60.248447205,50,45.9627329193,52.1739130435,52.7950310559,19.5652173913,18.6335403727,47.8260869565,49.0683229814,8.6956521739,11.801242236,3.2608695652,4.9689254658,20.652173913,25.4658385093,3.2608695652,3.7267080745,13.0434782609,12.4223602484,5.4347826087,6.8322981366,26.0869565217,24.8447204969,2.1739130435,2.4844720497,23.9130434783,26.0869565217,26.0869565217,30.4347826087,44.5652173913,46.5838509317,61.9565217391,62.1118012422,34.7826086957,39.751552795,39.1304347826,38.5093167702,56.5217391304,54.0372670807
2.5.4.5.3,Curatori e conservatori di musei,90,81.1428571429,87,76.5714285714,84,76.5714285714,88,76.5714285714,29,29.7142857143,28,25.1428571429,82,71.4284571429,78,72.5714285714,53,54.8571428571,64,58.2857142857,67,62.8571428571,79,72.5714285714,44,48.5714285714,66,61.7142857143,61,49.7142857143,62,60.5714285714,77,67.4285714286,68,65.1428571429,18,18.2857142857,51,58.2857142857,5,5.7142514286,1,1.14284,22,21.7142857143,12,8.5714285714,3,3.9999828571,17,14.2857142857,22,19.4285714286,5,6.2856971429,23,19.4285714286,20,17.1428571429,75,65.1428571429,74,69.7142857143,67,64.5714285714,59,57.1428571429,58,53.1428571429
2.5.5.1.1,Pittori e scultori,52.5,50.7142857143,57.5,52.8571428571,48.75,50.7142857143,56.25,55.7142857143,16.25,18.5714285714,6.25,8.5714285714,48.75,50,41.25,43.5714285714,27.5,27.8571428571,22.5,24.2857142857,33.75,34.2857142857,30,31.4285714286,6.25,9.9999785714,22.5,23.5714285714,27.5,35.7142857143,32.5,35.7142857143,27.5,32.8571428571,46.25,46.4285714286,12.5,13.5714285714,60,58.5714285714,5,5.7142857143,1.25,1.42855,15,10.7142857143,2.5,3.5714285714,6.25,5,7.5,8.5714285714,13.75,18.5714285714,2.5,3.5714071429,8.75,9.2857142857,3.75,7.1428571429,55,52.8571428571,53.75,48.5714285714,48.75,45.7142857143,51.25,43.5714285714,15,12.8571428571
2.5.5.1.2,Disegnatori artistici e illustratori,72.0588235294,57.1428571429,75,63.8655462185,55.8823529412,55.4621848739,61.7647058824,52.1008403361,22.0588235294,23.5294117647,19.1176470588,15.9663865546,55.8823529412,51.2605042017,48.5294117647,40.3361344538,33.8235294118,33.6134453782,39.7058823529,33.6134453782,54.4117647059,48.7394957983,60.2941176471,52.9411764706,41.1764705882,40.3361344538,45.5882352941,40.3361344538,26.4705882353,26.0504201681,66.1764705882,57.1428571429,50,46.218487395,64.7058823529,57.1428571429,30.8823529412,31.9327731092,66.1764705882,61.3445378151,23.5294117647,20.1680672269,4.4117647059,6.7226890756,29.4117647059,27.731092437,5.8823529412,5.8823529412,16.1764705882,17.6470588235,11.7647058824,12.6050420168,26.4705882353,26.8907563025,4.4117647059,5.8823529412,11.7647058824,10.9243697479,10.2941176471,10.0840336134,44.1176470588,41.1764705882,61.7647058824,52.9411764706,27.9411764706,26.0504201681,35.2941176471,33.6134453782,23.5294117647,17.6470588235
2.5.5.1.3,Disegnatori di moda,66.1764705882,43.6974789916,77.9411764706,57.9831932773,57.3529411765,46.218487395,72.0588235294,62.1848739496,33.8235294118,32.7731092437,16.1764705882,13.4453781513,69.1176470588,55.4621848739,66.1764705882,55.4621848739,50,46.218487395,61.7647058824,56.3025210084,52.9411764706,47.0588235294,77.9411764706,60.5042016807,60.2941176471,49.5798319328,63.2352941176,52.9411764706,57.3529411765,52.1008403361,72.0588235294,61.3445378151,63.2352941176,57.1428571429,63.2352941176,52.9411764706,30.8823529412,26.0504201681,48.5294117647,48.7394957983,17.6470588235,14.2857142857,2.9411764706,3.3613445378,42.6470588235,41.1764705882,0,0,7.3529411765,7.5630252101,10.2941176471,11.7647058824,33.8235294118,31.0924369748,2.9411764706,3.3613445378,27.9411764706,31.0924369748,22.0588235294,24.3697478992,64.7058823529,56.3025210084,83.8235294118,66.3863865546,61.7647058824,52.9411764706,55.8823529412,52.9411764706,55.8823529412,52.9411764706
2.5.5.1.4,Creatori artistici a fini commerciali (esclusa la moda),90,70.7142857143,91.25,70.7142857143,86.25,65.7142857143,77.5,64.2857142857,41.25,36.4285714286,13.75,14.2857142857,72.5,60,68.75,56.4285714286,58.75,50,63.75,50.7142857143,63.75,50.7142857143,73.75,64.2857142857,53.75,57.1428571429,57.5,57.1428571429,37.5,40.7142857143,68.75,59.2857142857,61.25,55,58.75,52.8571428571,30,22.1428571429,71.25,56.4285714286,18.75,17.1428571429,43.75,32.1428571429,50,36.4285714286,1.25,1.42855,18.75,17.8571428571,16.25,17.1428571429,53.75,41.4285714286,3.75,4.9999785714,12.5,11.4285714286,11.25,11.4285714286,46.25,38.5714285714,71.25,58.5714285714,45,37.1428571429,48.75,43.5714285714,21.25,22.8571428571
2.5.5.1.5,Restauratori di beni culturali,65.2173913043,64.5962732919,57.6086956522,59.0062111801,61.9565217391,63.9751552795,63.0434782609,60.8695652174,22.8260869565,31.0559006211,44.5652173913,51.5527950311,60.8695652174,65.8385093168,64.1304347826,66.4596273292,46.7391304348,50.3105590062,52.1739130435,57.1428571429,41.3043478261,49.6894409938,58.6956521739,65.2173913043,39.1304347826,39.751552795,43.4782608696,39.1304347826,54.347826087,55.900621118,50,52.7950310559,67.3913043478,67.701863354,70.652173913,67.0807453416,35.8695652174,38.5093167702,69.5652173913,71.4285714286,20.652173913,25.4658385093,1.0869565217,1.2422173913,36.9565217391,37.2670807453,11.9565217391,13.0434782609,17.3913043478,19.2546583851,29.347826087,32.298136646,45.652173913,45.9627329193,11.9565217391,12.4223602484,20.652173913,20.4968944099,21.7391304348,22.3602484472,64.1304347826,66.4596273292,72.8260869565,67.701863354,67.3913043478,62.1118012422,60.8695652174,60.8695652174,52.1739130435,49.0683229814
2.5.5.2.1,Registi,90,77.8571428571,92.5,80.7142857143,80,77.8571428571,88.75,75,21.25,22.1428571429,12.5,16.4285714286,82.5,67.857,68.75,64.2857142857,65,60,75,64.2857142857,83.75,72.1427142857,85,74.2855714286,68.75,63.5714285714,66.25,60.7142857143,68.75,67.8571428571,53.75,55,67.5,60.7142857143,63.75,59.2857142857,16.25,19.2857142857,55,47.8571428571,16.25,17.1428571429,0,0,18.75,16.4285714286,1.25,1.4285714286,16.25,17.8571428571,2.5,3.5714071429,26.25,23.5714285714,1.25,1.4285714286,26.25,19.2857142857,20,16.4285714286,61.25,50.7142857143,78.75,63.5714285714,60,57.8571428571,55,47.1428571429,85,65.7141428571
2.5.5.2.2,Attori,86.25,70,91.25,72.1428571429,57.5,55.7142857143,88.75,70.7142857143,13.75,18.5714285714,12.5,11.4285714286,63.75,61.4285714286,60,56.4285714286,56.25,50.7142857143,55,49.2857142857,73.75,65,75,62.8571428571,38.75,43.5714285714,50,47.8571428571,30,27.1428571429,48.75,42.8571428571,45,36.4285714286,41.25,36.4285714286,12.5,15.7142857143,32.5,29.2857142857,5,5.7142642857,0,0,5,4.9999785714,1.25,2.8571428571,0,0,3.75,3.5714285714,16.25,15.7142857143,1.25,2.1428571429,6.25,7.1428571429,6.25,7.1428571429,40,35,61.25,54.2857142857,28.75,30,30,29.2857142857,27.5,25.7142857143
2.5.5.2.3,Direttori artistici,76.0869565217,63.9751552795,80.4347826087,70.1863354037,78.2608695652,67.701863354,83.6956521739,72.6708074534,30.4347826087,35.4037267081,19.5652173913,19.2546583851,72.8260869565,62.7329192547,64.1304347826,62.1118012422,53.2608695652,57.1428571429,66.3043478261,68.9440993789,68.4782608696,67.0807453416,77.1739130435,71.4285714286,51.0869565217,56.5217391304,65.2173913043,66.4596273292,60.8695652174,60.248447205,60.8695652174,58.3850931677,70.652173913,59.6273291925,67.3913043478,59.0062111801,28.2608695652,28.5714285714,54.347826087,58.3850931677,31.5217391304,31.6770186335,10.8695652174,9.9378881988,40.2173913043,35.4037267081,5.4347826087,6.2111614907,15.2173913043,15.5279503106,16.3043478261,14.2857142857,41.3043478261,37.2670807453,4.347826087,6.8322795031,26.0869565217,25.4658385093,27.1739130435,27.950310559,79.347826087,71.4285714286,71.7391304348,66.4596273292,65.2173913043,64.5962732919,44.5652173913,47.8260869565,72.8260869565,70.1863354037
2.5.5.2.4,Sceneggiatori,94.4444444444,66.6666666667,86.1111111111,71.4285714286,91.6666666667,82.5396825397,72.2222222222,66.6666666667,13.8888888889,17.4603174603,5.5555555556,4.7619047619,72.2222222222,66.6666666667,50,44.4444444444,25,20.6349206349,36.1111111111,28.5714285714,72.2222222222,63.4920634921,69.4444444444,66.6666666667,30.5555555556,25.3968253968,41.6666666667,38.0952380952,41.6666666667,31.746031746,33.3333333333,28.5714285714,33.3333333333,33.3333333333,47.2222222222,46.0317460317,11.1111111111,7.9365079365,30.5555555556,28.5714285714,8.3333333333,6.3492063492,0,0,11.1111111111,7.9365079365,0,0,2.7777777778,4.7619047619,0,0,13.8888888889,11.1111111111,0,0,11.1111111111,7.9365079365,11.1111111111,7.9365079365,55.5555555556,52.380952381,61.1111111111,50.7936507937,36.1111111111,30.1587301587,36.1111111111,26.9841269841,38.8888888889,31.746031746
2.5.5.2.5,Scenografi,82.5,72.1428571429,92.5,77.8571428571,53.75,55,81.25,70.7142857143,35,40,33.75,32.1428571429,82.5,70.7142857143,75,67.8571428571,58.75,54.2857142857,72.5,66.4285714286,70,57.1428571429,85,77.1428571429,62.5,53.5714285714,73.75,62.1428571429,62.5,53.5714285714,58.75,54.2857142857,76.25,65.7142857143,73.75,70.7142857143,58.75,55.7142857143,66.25,64.2857142857,31.25,32.8571428571,6.25,9.2857142857,18.75,20,3.75,4.9999571429,18.75,16.4285714286,5,5.7142428571,33.75,29.2857142857,2.5,2.8571214286,22.5,20.7142857143,26.25,21.4285714286,68.75,56.4285714286,81.25,70.7142857143,82.5,70.7141428571,63.75,60,77.5,62.8571428571
2.5.5.3.1,Coreografi,61.1111111111,53.1746031746,73.6111111111,61.1111111111,59.7222222222,58.7301587302,86.1111111111,68.253968254,31.9444444444,30.1587301587,22.2222222222,23.0158730159,66.6666666667,58.7301587302,59.7222222222,52.380952381,65.2777777778,59.5238095238,66.6666666667,53.1746031746,63.8888888889,56.3492063492,77.7777777778,66.6666666667,52.7777777778,50.7936507937,45.8333333333,42.8571428571,79.1666666667,66.6666666667,51.3888888889,42.8571428571,43.0555555556,41.2698412698,43.0555555556,39.6825396825,15.2777777778,17.4603174603,44.4444444444,38.8888888889,5.5555555556,4.7619047619,0,0,13.8888888889,15.873015873,1.3888888889,1.5873015873,4.1666666667,3.9682539683,0,0,12.5,11.9047619048,1.3888888889,0.7936507937,5.5555555556,6.3492063492,2.7777777778,3.1745793651,48.6111111111,38.8888888889,70.8333333333,61.1111111111,37.5,33.3333333333,54.1666666667,46.0317460317,66.6666666667,53.9682539683
2.5.5.3.2,Ballerini,42.6470588235,45.3781512605,80.8823529412,68.0672268908,35.2941176471,36.1344537815,66.1764705882,57.9831932773,16.1764705882,16.8067226891,10.2941176471,10.9243697479,47.0588235294,43.6974789916,54.4117647059,46.218487395,54.4117647059,48.7394957983,44.1176470588,42.0168067227,58.8235294118,54.6218487395,79.4117647059,69.7478991597,26.4705882353,27.731092437,19.1176470588,16.8067226891,47.0588235294,42.8571428571,48.5294117647,41.1764705882,30.8823529412,27.731092437,25,27.731092437,10.2941176471,11.7647058824,22.0588235294,26.8907563025,1.4705882353,2.5210084034,0,0,10.2941176471,10.0840336134,1.4705882353,0.8403361345,2.9411764706,3.3613445378,2.9411764706,5.8823529412,14.7058823529,17.6470588235,0,0,14.7058823529,10.9243697479,11.7647058824,11.7647058824,29.4117647059,25.2100840336,57.3529411765,47.8991596639,27.9411764706,24.3697478992,22.0588235294,21.0084033613,27.9411764706,23.5294117647
2.5.5.4.1,Compositori,77.7777777778,66.6666666667,80.5555555556,68.253968254,81.9444444444,70.6349206349,76.3888888889,69.8412698413,47.2222222222,48.4126984127,20.8333333333,19.8412698413,70.8333333333,67.4603174603,68.0555555556,64.2857142857,48.6111111111,48.4126984127,48.6111111111,48.4126984127,63.8888888889,60.3174603175,55.5555555556,49.2063492063,27.7777777778,28.5714285714,43.0555555556,46.0317460317,51.3888888889,50.7936507937,55.5555555556,56.3492063492,59.7222222222,55.5555555556,56.9444444444,52.380952381,26.3888888889,30.1587301587,56.9444444444,51.5873015873,22.2222222222,23.8095238095,18.0555555556,15.873015873,26.3888888889,25.3968253968,11.1111111111,11.9047619048,13.8888888889,14.2857142857,18.0555555556,15.873015873,16.6666666667,15.873015873,4.1666666667,4.7618809524,15.2777777778,15.873015873,15.2777777778,13.4920634921,43.0555555556,42.8571428571,76.3888888889,55.5555555556,37.5,38.0952380952,48.6111111111,46.8253968254,29.1666666667,28.5714285714
2.5.5.4.2,Direttori d'orchestra e coro,78.5714285714,66.6666666667,78.5714285714,71.4285714286,63.0952380952,56.462585034,90.4761904762,76.8707482993,29.7619047619,27.8911564626,19.0476190476,19.0476190476,75,64.6258503401,63.0952380952,55.1020408163,64.2857142857,59.8639455782,71.4285714286,65.9863945578,76.1904761905,63.9455782313,77.380952381,73.4693877551,55.9523809524,57.8231292517,58.3333333333,55.1020408163,77.380952381,67.3469387755,60.7142857143,56.462585034,63.0952380952,55.7823129252,60.7142857143,58.5034013605,19.0476190476,18.3673469388,52.380952381,50.3401360544,11.9047619048,11.5646258503,2.380952381,2.7210884354,17.8571428571,19.0476190476,4.7619047619,6.1224285714,13.0952380952,14.9659863946,11.9047619048,12.925170068,36.9047619048,36.0544217687,5.9523809524,6.1224285714,20.2380952381,19.0476190476,21.4285714286,21.768707483,39.2857142857,38.7755102041,79.7619047619,68.0272108844,34.5238095238,32.6530612245,33.3333333333,31.9727891156,78.5714285714,68.0272108844
