up_new,Descrizione,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
3.1.5.2.0,Tecnici della gestione di cantieri edili,78.5714285714,77.380952381,80.9523809524,76.1904761905,75,58.3333333333,61.9047619048,77.380952381,77.380952381,71.4285714286,83.3333333333,77.380952381,78.5714285714,60.7142857143,60.7142857143,70.2380952381
3.1.5.3.0,Tecnici della produzione manifatturiera,69.2857142857,71.4285714286,73.5714285714,65.7142857143,77.1428571429,65,70.7142857143,75,71.4285714286,65.7142857143,82.8571428571,77.8571428571,75.7142857143,67.8571428571,65,70.7142857143
3.1.5.4.1,Tecnici della preparazione alimentare,75,68.75,78.75,72.5,78.75,56.25,78.75,73.75,72.5,76.25,87.5,86.25,78.75,55,66.25,58.75
3.1.5.4.2,Tecnici della produzione alimentare,77.6785714286,69.6428571429,74.1071428571,60.7142857143,74.1071428571,50.8928571429,66.0714285714,75,70.5357142857,71.4285714286,79.4642857143,75.8928571429,74.1071428571,63.3928571429,58.0357142857,64.2857142857
3.1.5.5.0,Tecnici della produzione di servizi,70.2380952381,73.8095238095,76.1904761905,77.380952381,79.7619047619,69.0476190476,80.9523809524,82.1428571429,76.1904761905,72.619047619,90.4761904762,79.7619047619,78.5714285714,51.1904761905,53.5714285714,61.9047619048
3.1.6.1.1,Comandanti navali,77.7777777778,79.1666666667,83.3333333333,90.2777777778,81.9444444444,75,80.5555555556,90.2777777778,84.7222222222,72.2222222222,84.7222222222,83.3333333333,73.6111111111,75,62.5,76.3888888889
3.1.6.1.2,Ufficiali e assistenti di bordo,84.7222222222,83.3333333333,81.9444444444,79.1666666667,87.5,77.7777777778,88.8888888889,93.0555555556,91.6666666667,91.6666666667,94.4444444444,90.2777777778,86.1111111111,69.4444444444,59.7222222222,80.5555555556
3.1.6.1.3,Piloti navali,100,100,90,92.5,95,70,90,100,100,95,100,100,52.5,85,67.5,100
3.1.6.2.1,Piloti e ufficiali di aeromobili,86.9565217391,85.8695652174,84.7826086957,81.5217391304,93.4782608696,69.5652173913,88.0434782609,94.5652173913,93.4782608696,91.3043478261,96.7391304348,94.5652173913,81.5217391304,61.9565217391,30.4347826087,89.1304347826
3.1.6.2.2,Tecnici avionici,94.7368421053,89.4736842105,86.8421052632,82.8947368421,94.7368421053,73.6842105263,94.7368421053,86.8421052632,89.4736842105,93.4210526316,100,93.4210526316,80.2631578947,76.3157894737,80.2631578947,92.1052631579
3.1.6.2.3,Tecnici aerospaziali,85.2941176471,89.7058823529,80.8823529412,69.1176470588,91.1764705882,67.6470588235,83.8235294118,76.4705882353,73.5294117647,73.5294117647,89.7058823529,77.9411764706,94.1176470588,67.6470588235,72.0588235294,79.4117647059
3.1.6.3.1,Controllori di volo,83.75,78.75,77.5,67.5,82.5,42.5,75,92.5,92.5,81.25,91.25,90,67.5,53.75,50,76.25
3.1.6.3.2,Tecnici del traffico aeroportuale,69.4444444444,73.6111111111,69.4444444444,73.6111111111,80.5555555556,68.0555555556,80.5555555556,81.9444444444,88.8888888889,79.1666666667,84.7222222222,79.1666666667,75,56.9444444444,43.0555555556,76.3888888889
3.1.6.4.0,Tecnici dell'organizzazione del traffico ferroviario,77.6315789474,73.6842105263,67.1052631579,56.5789473684,73.6842105263,44.7368421053,61.8421052632,80.2631578947,75,67.1052631579,75,75,78.9473684211,52.6315789474,44.7368421053,69.7368421053
3.1.6.5.0,Tecnici dell'organizzazione del traffico portuale,73.8095238095,82.1428571429,69.0476190476,71.4285714286,77.380952381,50,64.2857142857,85.7142857143,79.7619047619,66.6666666667,83.3333333333,79.7619047619,85.7142857143,61.9047619048,47.619047619,72.619047619
3.1.7.1.0,Fotografi e professioni assimilate,70.4545454545,72.7272727273,79.5454545455,57.9545454545,55.6818181818,53.4090909091,50,72.7272727273,75,72.7272727273,76.1363636364,81.8181818182,63.6363636364,63.6363636364,79.5454545455,62.5
3.1.7.2.1,Tecnici degli apparati audio-video e della ripresa video-cinematografica,78.75,73.75,80,56.25,76.25,51.25,68.75,80,82.5,78.75,88.75,81.25,62.5,73.75,83.75,82.5
3.1.7.2.2,Tecnici del suono,71.4285714286,67.8571428571,65.4761904762,48.8095238095,80.9523809524,46.4285714286,72.619047619,83.3333333333,85.7142857143,80.9523809524,83.3333333333,80.9523809524,59.5238095238,54.7619047619,60.7142857143,66.6666666667
3.1.7.2.3,Tecnici del montaggio audio-video-cinematografico,78.5714285714,72.619047619,67.8571428571,42.8571428571,73.8095238095,47.619047619,64.2857142857,80.9523809524,79.7619047619,77.380952381,85.7142857143,88.0952380952,54.7619047619,58.3333333333,78.5714285714,70.2380952381
3.1.7.3.0,Tecnici di apparati medicali e per la diagnostica medica,72.8260869565,69.5652173913,71.7391304348,50,58.6956521739,48.9130434783,43.4782608696,78.2608695652,72.8260869565,61.9565217391,79.347826087,77.1739130435,77.1739130435,69.5652173913,51.0869565217,69.5652173913
3.1.8.1.0,Tecnici della sicurezza degli impianti,80.8823529412,82.3529411765,69.1176470588,57.3529411765,77.9411764706,44.1176470588,72.0588235294,79.4117647059,70.5882352941,75,86.7647058824,83.8235294118,85.2941176471,76.4705882353,58.8235294118,82.3529411765
3.1.8.2.0,Tecnici della sicurezza sul lavoro,78.125,73.9583333333,70.8333333333,69.7916666667,71.875,55.2083333333,63.5416666667,79.1666666667,79.1666666667,76.0416666667,90.625,82.2916666667,81.25,82.2916666667,53.125,78.125
3.1.8.3.1,Tecnici del controllo ambientale,77.380952381,61.9047619048,57.1428571429,46.4285714286,73.8095238095,51.1904761905,64.2857142857,73.8095238095,65.4761904762,61.9047619048,75,70.2380952381,85.7142857143,57.1428571429,39.2857142857,64.2857142857
3.1.8.3.2,Tecnici della raccolta e trattamento dei rifiuti e della bonifica ambientale,78.75,71.25,62.5,61.25,67.5,43.75,48.75,62.5,67.5,63.75,70,72.5,68.75,68.75,48.75,68.75
3.2.1.1.1,Professioni sanitarie infermieristiche,67.5,67.5,78.75,70,87.5,88.75,81.25,88.75,86.25,75,87.5,87.5,83.75,63.75,56.25,71.25
3.2.1.1.2,Professioni sanitarie ostetriche,78.5714285714,75,70.2380952381,51.1904761905,77.380952381,76.1904761905,75,83.3333333333,80.9523809524,75,83.3333333333,84.5238095238,82.1428571429,55.9523809524,47.619047619,64.2857142857
3.2.1.2.1,Podologi,68.75,71.875,68.75,40.625,68.75,81.25,46.875,68.75,75,71.875,81.25,84.375,68.75,84.375,62.5,68.75
3.2.1.2.2,Fisioterapisti,68.1818181818,68.1818181818,67.0454545455,40.9090909091,68.1818181818,79.5454545455,62.5,75,79.5454545455,72.7272727273,80.6818181818,75,76.1363636364,69.3181818182,64.7727272727,76.1363636364
3.2.1.2.3,Logopedisti,82.1428571429,82.1428571429,82.1428571429,57.1428571429,78.5714285714,90.4761904762,76.1904761905,88.0952380952,88.0952380952,77.380952381,86.9047619048,76.1904761905,83.3333333333,60.7142857143,69.0476190476,80.9523809524
3.2.1.2.4,Ortottisti - assistenti di oftalmologia,72.619047619,71.4285714286,75,36.9047619048,76.1904761905,89.2857142857,58.3333333333,83.3333333333,83.3333333333,77.380952381,88.0952380952,89.2857142857,84.5238095238,71.4285714286,51.1904761905,73.8095238095
3.2.1.2.5,Terapisti della neuro e psicomotricità dell’età evolutiva,82.5,83.75,81.25,57.5,85,95,80,90,87.5,82.5,85,83.75,85,66.25,75,76.25
3.2.1.2.6,Tecnici riabilitazione psichiatrica,78.5714285714,77.380952381,80.9523809524,61.9047619048,92.8571428571,96.4285714286,92.8571428571,90.4761904762,91.6666666667,80.9523809524,94.0476190476,77.380952381,88.0952380952,50,66.6666666667,71.4285714286
3.2.1.2.7,Educatori professionali,78.4090909091,80.6818181818,84.0909090909,73.8636363636,87.5,94.3181818182,86.3636363636,90.9090909091,89.7727272727,87.5,93.1818181818,84.0909090909,89.7727272727,59.0909090909,68.1818181818,75
3.2.1.2.8,Terapisti occupazionali,64.5833333333,68.75,68.75,64.5833333333,89.5833333333,87.5,83.3333333333,75,75,77.0833333333,77.0833333333,52.0833333333,72.9166666667,43.75,47.9166666667,50
3.2.1.3.1,Tecnici audiometristi,73.75,65,61.25,46.25,77.5,83.75,62.5,85,77.5,75,85,80,76.25,63.75,55,66.25
3.2.1.3.2,Tecnici sanitari di laboratorio biomedico,61.8421052632,44.7368421053,47.3684210526,28.9473684211,56.5789473684,39.4736842105,36.8421052632,46.0526315789,47.3684210526,39.4736842105,80.2631578947,81.5789473684,71.0526315789,50,21.0526315789,64.4736842105
3.2.1.3.3,Tecnici sanitari di radiologia medica,66.6666666667,65.4761904762,55.9523809524,40.4761904762,77.380952381,79.7619047619,71.4285714286,84.5238095238,83.3333333333,67.8571428571,84.5238095238,88.0952380952,82.1428571429,52.380952381,47.619047619,58.3333333333
3.2.1.3.4,Tecnici di neurofisiopatologia,66.6666666667,61.9047619048,64.2857142857,36.9047619048,72.619047619,73.8095238095,58.3333333333,88.0952380952,86.9047619048,70.2380952381,82.1428571429,88.0952380952,83.3333333333,58.3333333333,44.0476190476,61.9047619048
3.2.1.4.1,Tecnici ortopedici,72.5,65.8333333333,74.1666666667,60.8333333333,71.6666666667,80,60.8333333333,80.8333333333,74.1666666667,70.8333333333,80.8333333333,80.8333333333,80,53.3333333333,68.3333333333,70.8333333333
3.2.1.4.2,Tecnici audioprotesisti,77.380952381,79.7619047619,85.7142857143,57.1428571429,77.380952381,77.380952381,60.7142857143,82.1428571429,82.1428571429,75,84.5238095238,89.2857142857,84.5238095238,64.2857142857,60.7142857143,73.8095238095
3.2.1.4.3,Igienisti dentali,73.75,61.25,57.5,46.25,62.5,68.75,47.5,78.75,76.25,68.75,78.75,86.25,78.75,56.25,40,56.25
